"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Colton, Reny","SR",15.51,"Claremont Classic Multi","May 13, 2010",1.2,"Athena","100H","2010","Outdoor"
"Lundell, Carmen","FR-1",15.74,"SCIAC Championships","Apr 30, 2010",0.5,"Athena","100H","2010","Outdoor"
"Colton, Reny","SR",15.8,"SCIAC Championships","Apr 30, 2010",-0.4,"Athena","100H","2010","Outdoor"
"Colton, Reny","SR",15.81,"CSUN Multi's","Mar 18, 2010",-0.9,"Athena","100H","2010","Outdoor"
"Colton, Reny","SR",15.82,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",0.8,"Athena","100H","2010","Outdoor"
"Colton, Reny","SR",15.84,"SCIAC Championships","Apr 30, 2010",0.5,"Athena","100H","2010","Outdoor"
"Lundell, Carmen","FR-1",15.87,"SCIAC Championships","Apr 30, 2010",-0.4,"Athena","100H","2010","Outdoor"
"Lundell, Carmen","FR-1",15.9,"SCIAC Quad Meet","Apr 17, 2010",1.7,"Athena","100H","2010","Outdoor"
"Colton, Reny","SR",15.94,"Mt. SAC/CA Invite Combined Events","Apr 14, 2010",-0.6,"Athena","100H","2010","Outdoor"
"Lundell, Carmen","FR-1",16,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",0.9,"Athena","100H","2010","Outdoor"
"Colton, Reny","SR",16,"SCIAC Quad Meet","Apr 17, 2010",1.7,"Athena","100H","2010","Outdoor"
"Colton, Reny","SR",16.04,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.5,"Athena","100H","2010","Outdoor"
"Young, Rebecca","SO-2",16.3,"SCIAC Quad Meet","Apr 17, 2010",0,"Athena","100H","2010","Outdoor"
"Young, Rebecca","SO-2",16.34,"SCIAC Championships","Apr 30, 2010",0.5,"Athena","100H","2010","Outdoor"
"Lundell, Carmen","FR-1",16.4,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.5,"Athena","100H","2010","Outdoor"
"Young, Rebecca","SO-2",16.51,"SCIAC Championships","Apr 30, 2010",-0.4,"Athena","100H","2010","Outdoor"
"Colton, Reny","SR",16.7,"4 Way Scoring Meet","Feb 20, 2010",0.6,"Athena","100H","2010","Outdoor"
"Lundell, Carmen","FR-1",17.35,"Spring Break Classic","Mar 20, 2010",0.6,"Athena","100H","2010","Outdoor"
"Young, Rebecca","SO-2",17.38,"4 Way Scoring Meet","Feb 20, 2010",0.6,"Athena","100H","2010","Outdoor"
"Lewis, Sarah","SR-4",17.64,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",0.8,"Athena","100H","2010","Outdoor"
"Young, Rebecca","SO-2",17.69,"Rossi Relays","Feb 27, 2010",1.6,"Athena","100H","2010","Outdoor"
"Lewis, Sarah","SR-4",17.75,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.5,"Athena","100H","2010","Outdoor"
"Lewis, Sarah","SR-4",17.87,"4 Way Scoring Meet","Feb 20, 2010",1.6,"Athena","100H","2010","Outdoor"
"Lewis, Sarah","SR-4",17.88,"Rossi Relays","Feb 27, 2010",1.6,"Athena","100H","2010","Outdoor"
"Lewis, Sarah","SR-4",18.22,"Spring Break Classic","Mar 20, 2010",0.6,"Athena","100H","2010","Outdoor"
"Zouai, Manon","",22.97,"4 Way Scoring Meet","Feb 20, 2010",1.6,"Athena","100H","2010","Outdoor"
