"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Vignos, Jeff","","1:54.57","Cal State LA Last Chance Qualifier","May 13, 2011","Stag","800","2011","Outdoor"
"Dinolov, Georgi","SR-4","1:54.70","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","800","2011","Outdoor"
"Vignos, Jeff","","1:55.53","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Chasan, Quinn","SR","1:55.59","Oxy Invitational","May 7, 2011","Stag","800","2011","Outdoor"
"Vignos, Jeff","","1:55.63","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Dinolov, Georgi","SR-4","1:55.76","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Chasan, Quinn","SR","1:55.84","Cal/Nevada Collegiate Championship","Mar 26, 2011","Stag","800","2011","Outdoor"
"Vignos, Jeff","","1:55.99","2011 Pomona-Pitzer Invite","Apr 9, 2011","Stag","800","2011","Outdoor"
"Chasan, Quinn","SR","1:56.02","Oxy Distance Carnival","Mar 11, 2011","Stag","800","2011","Outdoor"
"Dinolov, Georgi","SR-4","1:56.32","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Chasan, Quinn","SR","1:56.45","UC-Irvine Spring Break Invite","Mar 19, 2011","Stag","800","2011","Outdoor"
"Chasan, Quinn","SR","1:56.69","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","800","2011","Outdoor"
"Dinolov, Georgi","SR-4","1:56.87","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","800","2011","Outdoor"
"Vignos, Jeff","","1:56.91","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","800","2011","Outdoor"
"Vignos, Jeff","","1:57.10","UC-Irvine Spring Break Invite","Mar 19, 2011","Stag","800","2011","Outdoor"
"Chasan, Quinn","SR","1:57.22","Cal/Nevada Collegiate Championship","Mar 26, 2011","Stag","800","2011","Outdoor"
"Dinolov, Georgi","SR-4","1:57.49","UC-Irvine Spring Break Invite","Mar 19, 2011","Stag","800","2011","Outdoor"
"Ayers, Dillon","SR-4","1:57.99","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
"Poyhonen, Alex","SR","1:58.15","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Davis, Ari","","1:58.29","UC-Irvine Spring Break Invite","Mar 19, 2011","Stag","800","2011","Outdoor"
"Kunselman, Shane","","1:58.35","2011 Pomona-Pitzer Invite","Apr 9, 2011","Stag","800","2011","Outdoor"
"Kunselman, Shane","","1:58.58","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Kunselman, Shane","","1:59.00","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","800","2011","Outdoor"
"Dinolov, Georgi","SR-4","1:59.24","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
"Vignos, Jeff","","1:59.24","Northridge Invitational","Mar 12, 2011","Stag","800","2011","Outdoor"
"Potterton, Kevin","JR-3","1:59.29","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Davis, Ari","","1:59.48","Oxy Invitational","May 7, 2011","Stag","800","2011","Outdoor"
"Kunselman, Shane","","1:59.56","UC-Irvine Spring Break Invite","Mar 19, 2011","Stag","800","2011","Outdoor"
"Kunselman, Shane","","1:59.73","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","800","2011","Outdoor"
"Doran, Zach","SO-2","2:00.11","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
"Davis, Ari","","2:00.17","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Potterton, Kevin","JR-3","2:00.22","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","800","2011","Outdoor"
"Dannenhauer, Rafer","SR","2:00.29","UC-Irvine Spring Break Invite","Mar 19, 2011","Stag","800","2011","Outdoor"
"Poyhonen, Alex","SR","2:00.30","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","800","2011","Outdoor"
"Olmsted, Dan","SR-4","2:00.38","2011 Pomona-Pitzer Invite","Apr 9, 2011","Stag","800","2011","Outdoor"
"Kunselman, Shane","","2:00.47","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
"Poyhonen, Alex","SR","2:00.87","Oxy Distance Carnival","Mar 11, 2011","Stag","800","2011","Outdoor"
"Potterton, Kevin","JR-3","2:00.89","Oxy Distance Carnival","Mar 11, 2011","Stag","800","2011","Outdoor"
"Poyhonen, Alex","SR","2:00.90","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","800","2011","Outdoor"
"Potterton, Kevin","JR-3","2:01.23","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
"Potterton, Kevin","JR-3","2:01.42","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","800","2011","Outdoor"
"Davis, Ari","","2:01.47","2011 Pomona-Pitzer Invite","Apr 9, 2011","Stag","800","2011","Outdoor"
"Poyhonen, Alex","SR","2:02.12","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
"Weaver, Ryan","SR-4","2:02.55","UC-Irvine Spring Break Invite","Mar 19, 2011","Stag","800","2011","Outdoor"
"Kunselman, Shane","","2:03.00","Northridge Invitational","Mar 12, 2011","Stag","800","2011","Outdoor"
"Ogilvie, Scott","JR-3","2:03.73","Oxy Distance Carnival","Mar 11, 2011","Stag","800","2011","Outdoor"
"Anderson, Joey","JR-3","2:04.37","2011 Pomona-Pitzer Invite","Apr 9, 2011","Stag","800","2011","Outdoor"
"Davis, Ari","","2:04.97","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","800","2011","Outdoor"
"Ogilvie, Scott","JR-3","2:06.33","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","800","2011","Outdoor"
"Ogilvie, Scott","JR-3","2:06.47","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Gil, Nelson","SR-4","2:09.85","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","800","2011","Outdoor"
"Van Houten, Lucas","JR","2:10.58","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
"Gil, Nelson","SR-4","2:11.35","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","800","2011","Outdoor"
"Van Houten, Lucas","JR","2:12.25","Oxy Distance Carnival","Mar 11, 2011","Stag","800","2011","Outdoor"
"Gil, Nelson","SR-4","2:12.93","Oxy Distance Carnival","Mar 11, 2011","Stag","800","2011","Outdoor"
"O'Neill, Kevin","SR","2:13.40","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
"Van Houten, Lucas","JR","2:13.84","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","800","2011","Outdoor"
"Gil, Nelson","SR-4","2:14.38","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","800","2011","Outdoor"
"Gil, Nelson","SR-4","2:14.56","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
"Davis, Ari","","2:14.68","Northridge Invitational","Mar 12, 2011","Stag","800","2011","Outdoor"
"Ogilvie, Scott","JR-3","2:16.47","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","800","2011","Outdoor"
"Evans, Dan","JR-3","2:17.87","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","800","2011","Outdoor"
