"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Kopczynski, Brian","JR-3","8:44.05","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Dannenhauer, Rafer","SR","8:51.02","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Scheulen, Florian","SR-4","8:52.34","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Sutter, Brian","SR","8:53.36","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Chow, Bryan","SO-2","9:03.09","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Cummins, Matt","JR-3","9:11.75","Rossi Relays","Feb 27, 2010","Stag","3000","2010","Outdoor"
"Kurtis, Alex","SR-4","9:18.44","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Kurtis, Matt","SR-4","9:21.96","Rossi Relays","Feb 27, 2010","Stag","3000","2010","Outdoor"
"Kurtis, Matt","SR-4","9:27.63","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Page, Russell","SR","9:44.37","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Stewart, Kyle","JR-3","10:07.70","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Boerigter, Tom","SO-2","10:08.79","4 Way Scoring Meet","Feb 20, 2010","Stag","3000","2010","Outdoor"
"Stewart, Kyle","JR-3","10:10.49","Rossi Relays","Feb 27, 2010","Stag","3000","2010","Outdoor"
