"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Brown, Kris","SR-4","14:40.88","Cal/Nevada Collegiate Championship","Mar 26, 2011","Stag","5000","2011","Outdoor"
"Brown, Kris","SR-4","14:43.34","Oxy Invitational","May 7, 2011","Stag","5000","2011","Outdoor"
"Dannenhauer, Rafer","SR","14:43.60","Oxy Distance Carnival","Mar 11, 2011","Stag","5000","2011","Outdoor"
"Brown, Kris","SR-4","14:50.80","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Sutter, Brian","SR","14:53.63","Oxy Distance Carnival","Mar 11, 2011","Stag","5000","2011","Outdoor"
"Brown, Kris","SR-4","14:58.51","Gregory Invitational","May 17, 2011","Stag","5000","2011","Outdoor"
"Dannenhauer, Rafer","SR","15:01.83","2011 Pomona-Pitzer Invite","Apr 9, 2011","Stag","5000","2011","Outdoor"
"Dannenhauer, Rafer","SR","15:11.11","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Sutter, Brian","SR","15:12.65","Cal/Nevada Collegiate Championship","Mar 26, 2011","Stag","5000","2011","Outdoor"
"Sutter, Brian","SR","15:14.18","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Sutter, Brian","SR","15:22.52","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","5000","2011","Outdoor"
"Brown, Kris","SR-4","15:23.15","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","5000","2011","Outdoor"
"Sutter, Brian","SR","15:28.52","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Naden, Bennett","SR","15:31.37","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Brown, Kris","SR-4","15:33.31","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Page, Russell","SR","15:33.37","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Kopczynski, Brian","SR-4","15:33.67","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Robinson, Tyler","JR","15:36.89","Oxy Distance Carnival","Mar 11, 2011","Stag","5000","2011","Outdoor"
"Sutter, Brian","SR","15:37.94","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Naden, Bennett","SR","15:41.68","2011 Pomona-Pitzer Invite","Apr 9, 2011","Stag","5000","2011","Outdoor"
"Cummins, Matt","SR-4","15:46.44","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Page, Russell","SR","15:50.89","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Robinson, Tyler","JR","15:56.28","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","5000","2011","Outdoor"
"Baffi, Tim","SR","15:57.73","Oxy Distance Carnival","Mar 11, 2011","Stag","5000","2011","Outdoor"
"Kopczynski, Brian","SR-4","16:00.03","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Page, Russell","SR","16:01.63","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Martinez, Julian","JR-3","16:03.59","Oxy Distance Carnival","Mar 11, 2011","Stag","5000","2011","Outdoor"
"Chow, Bryan","JR-3","16:04.25","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Robinson, Tyler","JR","16:04.91","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Baffi, Tim","SR","16:07.17","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Straube, Kramer","SR-4","16:11.91","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Robinson, Tyler","JR","16:13.96","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Chow, Bryan","JR-3","16:16.68","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","5000","2011","Outdoor"
"Baffi, Tim","SR","16:21.03","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Chow, Bryan","JR-3","16:24.16","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Chow, Bryan","JR-3","16:24.62","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Robinson, Tyler","JR","16:30.50","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Martinez, Julian","JR-3","16:34.71","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Briskman, Jonathan","JR","16:45.41","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Briskman, Jonathan","JR","16:48.37","Oxy Distance Carnival","Mar 11, 2011","Stag","5000","2011","Outdoor"
"Baffi, Tim","SR","16:52.47","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Briskman, Colin","JR","16:53.30","Oxy Distance Carnival","Mar 11, 2011","Stag","5000","2011","Outdoor"
"Briskman, Colin","JR","17:17.81","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Straube, Kramer","SR-4","17:17.89","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Conroy, Brian","SR","17:24.65","2011 SCIAC Track & Field Championships","Apr 29, 2011","Stag","5000","2011","Outdoor"
"Briskman, Colin","JR","17:26.36","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","5000","2011","Outdoor"
"Briskman, Jonathan","JR","17:35.47","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Briskman, Jonathan","JR","17:37.36","SCIAC Quad #1 at CMS","Mar 5, 2011","Stag","5000","2011","Outdoor"
"Briskman, Jonathan","JR","17:38.43","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Conroy, Brian","SR","17:44.05","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Briskman, Colin","JR","17:48.08","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Stag","5000","2011","Outdoor"
"Briskman, Colin","JR","18:00.43","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Stag","5000","2011","Outdoor"
"Guo, Tom","SO-2","18:49.90","Oxy Distance Carnival","Mar 11, 2011","Stag","5000","2011","Outdoor"
