"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Colton, Reny","SR",25.92,"Northridge Multi Events","Mar 17, 2011",1.3,"Athena","200","2011","Outdoor"
"Colton, Reny","SR",26.13,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.1,"Athena","200","2011","Outdoor"
"Lewis, Rose","",26.46,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",-0.4,"Athena","200","2011","Outdoor"
"Lewis, Rose","",26.59,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1,"Athena","200","2011","Outdoor"
"Colton, Reny","SR",26.62,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.1,"Athena","200","2011","Outdoor"
"Sheldon, Madeline","SO-2",26.78,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.1,"Athena","200","2011","Outdoor"
"Lewis, Rose","",26.86,"SCIAC Quad #1 at CMS","Mar 5, 2011",0.9,"Athena","200","2011","Outdoor"
"Sheldon, Madeline","SO-2",26.87,"SCIAC Quad #1 at CMS","Mar 5, 2011",0.9,"Athena","200","2011","Outdoor"
"Sheldon, Madeline","SO-2",26.88,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",-0.4,"Athena","200","2011","Outdoor"
"Lewis, Rose","",26.93,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.1,"Athena","200","2011","Outdoor"
"Sheldon, Madeline","SO-2",27.12,"UC-Irvine Spring Break Invite","Mar 19, 2011",0.9,"Athena","200","2011","Outdoor"
"Gaston, Calyx","",27.31,"2011 SCIAC Track & Field Championships","Apr 29, 2011",0.4,"Athena","200","2011","Outdoor"
"Gaston, Calyx","",27.48,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",1.3,"Athena","200","2011","Outdoor"
"Gaston, Calyx","",27.98,"UC-Irvine Spring Break Invite","Mar 19, 2011",1.8,"Athena","200","2011","Outdoor"
"Chong, Caety","SR-4",28.58,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.1,"Athena","200","2011","Outdoor"
"Chong, Caety","SR-4",28.8,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1.7,"Athena","200","2011","Outdoor"
"Chong, Caety","SR-4",29.19,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",1.3,"Athena","200","2011","Outdoor"
"Kalin, Sophia","FR-1",29.29,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1.7,"Athena","200","2011","Outdoor"
"Kalin, Sophia","FR-1",29.31,"2011 SCIAC Track & Field Championships","Apr 29, 2011",0.4,"Athena","200","2011","Outdoor"
"Kalin, Sophia","FR-1",29.38,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",1.3,"Athena","200","2011","Outdoor"
