"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Warren, Olivia","FR-1","2:18.25","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","800","2011","Outdoor"
"Warren, Olivia","FR-1","2:19.51","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","800","2011","Outdoor"
"Warren, Olivia","FR-1","2:20.72","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","800","2011","Outdoor"
"Wyatt, Laura","SR","2:20.89","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","800","2011","Outdoor"
"Wyatt, Laura","SR","2:21.30","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","800","2011","Outdoor"
"Warren, Olivia","FR-1","2:21.84","Northridge Invitational","Mar 12, 2011","Athena","800","2011","Outdoor"
"Warren, Olivia","FR-1","2:21.85","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","800","2011","Outdoor"
"Grime, Riley","SR-4","2:21.96","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","800","2011","Outdoor"
"Wyatt, Laura","SR","2:22.13","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","800","2011","Outdoor"
"Grime, Riley","SR-4","2:22.43","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","800","2011","Outdoor"
"Grime, Riley","SR-4","2:22.63","2011 Pomona-Pitzer Invite","Apr 9, 2011","Athena","800","2011","Outdoor"
"Wyatt, Laura","SR","2:22.66","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","800","2011","Outdoor"
"Wyatt, Laura","SR","2:22.70","Oxy Distance Carnival","Mar 11, 2011","Athena","800","2011","Outdoor"
"Warren, Olivia","FR-1","2:23.12","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","800","2011","Outdoor"
"Grime, Riley","SR-4","2:23.15","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","800","2011","Outdoor"
"Grime, Riley","SR-4","2:23.55","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","800","2011","Outdoor"
"Grime, Riley","SR-4","2:24.34","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","800","2011","Outdoor"
"Garton, Kelly","JR-3","2:24.93","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","800","2011","Outdoor"
"Garton, Kelly","JR-3","2:25.83","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","800","2011","Outdoor"
"Barnwell, Allison","JR","2:25.94","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","800","2011","Outdoor"
"Garton, Kelly","JR-3","2:26.89","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","800","2011","Outdoor"
"Garton, Kelly","JR-3","2:29.04","Oxy Distance Carnival","Mar 11, 2011","Athena","800","2011","Outdoor"
"Baumgarten, Alisse","","2:29.78","Oxy Distance Carnival","Mar 11, 2011","Athena","800","2011","Outdoor"
"Yoshida, Elise","SO-2","2:30.42","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","800","2011","Outdoor"
"Colton, Reny","SR","2:30.86","Northridge Multi Events","Mar 17, 2011","Athena","800","2011","Outdoor"
"Yoshida, Elise","SO-2","2:31.19","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","800","2011","Outdoor"
"Baumgarten, Alisse","","2:32.05","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","800","2011","Outdoor"
"Yoshida, Elise","SO-2","2:32.09","Oxy Distance Carnival","Mar 11, 2011","Athena","800","2011","Outdoor"
"Beem, Lisa","FR-1","2:34.57","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","800","2011","Outdoor"
"Yoshida, Elise","SO-2","2:35.20","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","800","2011","Outdoor"
"Ramos, Adriana","FR-1","2:38.10","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","800","2011","Outdoor"
