"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Doede, Aubrey","JR-3","35.12m","115' 3""","SCIAC Championships","Apr 30, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","33.21m","108' 11""","Spring Break Classic","Mar 20, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","32.79m","107' 7""","SCIAC Championships","Apr 30, 2010","Athena","JT","2010","Outdoor"
"Cantrall, Catye","SO-2","32.61m","107' 0""","SCIAC Quad Meet","Apr 17, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","31.88m","104' 7""","SCIAC Championships","Apr 30, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","31.75m","104' 2""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","JT","2010","Outdoor"
"Cantrall, Catye","SO-2","31.69m","104' 0""","SCIAC Championships","Apr 30, 2010","Athena","JT","2010","Outdoor"
"Cantrall, Catye","SO-2","31.47m","103' 3""","SCIAC Championships","Apr 30, 2010","Athena","JT","2010","Outdoor"
"Cantrall, Catye","SO-2","31.42m","103' 1""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","31.23m","102' 5""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","JT","2010","Outdoor"
"Cantrall, Catye","SO-2","30.50m","100' 1""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","30.45m","99' 11""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","30.35m","99' 7""","SCIAC Championships","Apr 30, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","29.45m","96' 7""","SCIAC Championships","Apr 30, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","29.35m","96' 3""","4 Way Scoring Meet","Feb 20, 2010","Athena","JT","2010","Outdoor"
"Cantrall, Catye","SO-2","29.10m","95' 6""","SCIAC Championships","Apr 30, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","29.01m","95' 2""","SCIAC Championships","Apr 30, 2010","Athena","JT","2010","Outdoor"
"Doede, Aubrey","JR-3","28.99m","95' 1""","SCIAC Quad Meet","Apr 17, 2010","Athena","JT","2010","Outdoor"
"Cantrall, Catye","SO-2","27.39m","89' 10""","Rossi Relays","Feb 27, 2010","Athena","JT","2010","Outdoor"
"Colton, Reny","SR","26.52m","87' 0""","CSUN Multi's","Mar 18, 2010","Athena","JT","2010","Outdoor"
"Colton, Reny","SR","26.18m","85' 11""","Claremont Classic Multi","May 13, 2010","Athena","JT","2010","Outdoor"
"Cantrall, Catye","SO-2","25.71m","84' 4""","4 Way Scoring Meet","Feb 20, 2010","Athena","JT","2010","Outdoor"
"Colton, Reny","SR","25.32m","83' 1""","CSUN Multi's","Mar 18, 2010","Athena","JT","2010","Outdoor"
"Colton, Reny","SR","24.73m","81' 2""","4 Way Scoring Meet","Feb 20, 2010","Athena","JT","2010","Outdoor"
"Colton, Reny","SR","24.59m","80' 8""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","JT","2010","Outdoor"
"Colton, Reny","SR","23.51m","77' 1""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","JT","2010","Outdoor"
"Colton, Reny","SR","22.65m","74' 4""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","JT","2010","Outdoor"
"Yeske, Lauren","SO-2","18.59m","61' 0""","4 Way Scoring Meet","Feb 20, 2010","Athena","JT","2010","Outdoor"
"Colton, Reny","SR","17.58m","57' 8""","CSUN Multi's","Mar 18, 2010","Athena","JT","2010","Outdoor"
