"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Miller, Madeleine","SR-4","1:01.32","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","400H","2011","Outdoor"
"Miller, Madeleine","SR-4","1:02.13","Cal State LA Tommy Tiny Lister Classic","Apr 22, 2011","Athena","400H","2011","Outdoor"
"Miller, Madeleine","SR-4","1:02.51","2011 Pomona-Pitzer Invite","Apr 9, 2011","Athena","400H","2011","Outdoor"
"Miller, Madeleine","SR-4","1:03.05","2011 NCAA Division III Outdoor Track & Field Championships","May 26, 2011","Athena","400H","2011","Outdoor"
"Miller, Madeleine","SR-4","1:03.10","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","400H","2011","Outdoor"
"Miller, Madeleine","SR-4","1:03.40","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","400H","2011","Outdoor"
"Miller, Madeleine","SR-4","1:03.63","Rossi Relays","Feb 26, 2011","Athena","400H","2011","Outdoor"
"Miller, Madeleine","SR-4","1:04.41","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","400H","2011","Outdoor"
"Miller, Madeleine","SR-4","1:04.74","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:04.98","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:05.00","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:06.06","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","400H","2011","Outdoor"
"O'Keefe, Meg","","1:06.31","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:06.37","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:06.52","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:06.93","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:07.01","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","400H","2011","Outdoor"
"O'Keefe, Meg","","1:07.32","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:07.34","Rossi Relays","Feb 26, 2011","Athena","400H","2011","Outdoor"
"O'Keefe, Meg","","1:07.46","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","400H","2011","Outdoor"
"O'Keefe, Meg","","1:07.88","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:07.96","2011 Pomona-Pitzer Invite","Apr 9, 2011","Athena","400H","2011","Outdoor"
"O'Keefe, Meg","","1:08.54","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","400H","2011","Outdoor"
"O'Keefe, Meg","","1:08.55","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","400H","2011","Outdoor"
"Gao, Eva","FR-1","1:08.56","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","400H","2011","Outdoor"
"Lundell, Carmen","SO-2","1:09.22","Northridge Invitational","Mar 12, 2011","Athena","400H","2011","Outdoor"
"Gao, Eva","FR-1","1:09.81","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","400H","2011","Outdoor"
"O'Keefe, Meg","","1:09.90","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","400H","2011","Outdoor"
"Lewis, Rose","","1:10.89","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","400H","2011","Outdoor"
"Gao, Eva","FR-1","1:10.97","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","400H","2011","Outdoor"
"Gao, Eva","FR-1","1:11.06","2011 Pomona-Pitzer Invite","Apr 9, 2011","Athena","400H","2011","Outdoor"
"Gao, Eva","FR-1","1:12.24","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","400H","2011","Outdoor"
"Gao, Eva","FR-1","1:12.62","Rossi Relays","Feb 26, 2011","Athena","400H","2011","Outdoor"
"Gao, Eva","FR-1","1:13.24","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","400H","2011","Outdoor"
"Gao, Eva","FR-1","1:14.06","Northridge Invitational","Mar 12, 2011","Athena","400H","2011","Outdoor"
