"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Christensen, Miles","FR-1","4:14.26","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
"Ives, Wilson","JR-3","4:20.09","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
"Hassman, Evan","SO-2","4:22.51","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
"Iten, Ben","SR-4","4:24.28","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
"Sealand, Daniel","SO-2","4:31.39","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
"Kimball, Will","SO-2","4:31.75","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
"Denning, Max","JR-3","4:39.29","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
"Mountain, Bennett","SO-2","4:43.41","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
"Fleming, Thomas","FR-1","4:45.69","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
"Ostrander, Luke","SO-2","4:53.23","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","Mile","2019","Outdoor"
