"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Colton, Reny","SR","11.48m","37' 8""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.8,"Athena","TJ","2010","Outdoor"
"Colton, Reny","SR","11.31m","37' 1.25""","Spring Break Classic","Mar 20, 2010",-0.5,"Athena","TJ","2010","Outdoor"
"Colton, Reny","SR","11.14m","36' 6.75""","Rossi Relays","Feb 27, 2010",1,"Athena","TJ","2010","Outdoor"
"Colton, Reny","SR","10.93m","35' 10.5""","SCIAC Quad Meet","Apr 17, 2010",-0.4,"Athena","TJ","2010","Outdoor"
"Colton, Reny","SR","10.50m","34' 5.5""","Cal/Nevada Collegiate Championship","Mar 27, 2010",-0.8,"Athena","TJ","2010","Outdoor"
"Zouai, Manon","","10.17m","33' 4.5""","SCIAC Championships","Apr 30, 2010",0.8,"Athena","TJ","2010","Outdoor"
"Zouai, Manon","","10.16m","33' 4""","SCIAC Championships","Apr 30, 2010",1.3,"Athena","TJ","2010","Outdoor"
"Zouai, Manon","","9.97m","32' 8.5""","4 Way Scoring Meet","Feb 20, 2010",1.2,"Athena","TJ","2010","Outdoor"
"Lundell, Carmen","FR-1","9.68m","31' 9.25""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",1.3,"Athena","TJ","2010","Outdoor"
"Zouai, Manon","","9.67m","31' 8.75""","SCIAC Championships","Apr 30, 2010",-0.2,"Athena","TJ","2010","Outdoor"
"Zouai, Manon","","9.61m","31' 6.5""","SCIAC Championships","Apr 30, 2010",0.3,"Athena","TJ","2010","Outdoor"
"Zouai, Manon","","9.60m","31' 6""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",1.5,"Athena","TJ","2010","Outdoor"
"Zouai, Manon","","9.41m","30' 10.5""","Rossi Relays","Feb 27, 2010",0,"Athena","TJ","2010","Outdoor"
"Zouai, Manon","","9.15m","30' 0.25""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.4,"Athena","TJ","2010","Outdoor"
