"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Maslan, Nicki","SR-4","11:43.40","SCIAC Track & Field Championships","Apr 29, 2016","Athena","3000S","2016","Outdoor"
"Maslan, Nicki","SR-4","11:52.45","SCIAC Multi-Dual #3","Apr 16, 2016","Athena","3000S","2016","Outdoor"
"Maslan, Nicki","SR-4","12:10.92","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","3000S","2016","Outdoor"
"Msall, Matilda","FR-1","12:12.56","SCIAC Track & Field Championships","Apr 29, 2016","Athena","3000S","2016","Outdoor"
"Maslan, Nicki","SR-4","12:22.38","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","3000S","2016","Outdoor"
"Msall, Matilda","FR-1","12:38.35","SCIAC Multi-Dual #3","Apr 16, 2016","Athena","3000S","2016","Outdoor"
"Msall, Matilda","FR-1","12:48.54","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","3000S","2016","Outdoor"
"Msall, Matilda","FR-1","13:27.36","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","3000S","2016","Outdoor"
