"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"JonesMitchell, Nirel","JR-3",12.66,"SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020",1.5,"Athena","100","2020","Outdoor"
"Pratt, Grace","JR-3",12.8,"Rossi Relays","Feb 22, 2020",0.7,"Athena","100","2020","Outdoor"
"Pratt, Grace","JR-3",12.89,"2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020",-1.8,"Athena","100","2020","Outdoor"
"Pratt, Grace","JR-3",12.9,"SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020",1.5,"Athena","100","2020","Outdoor"
"Gagnon, Angie","FR-1",12.91,"Rossi Relays","Feb 22, 2020",0.9,"Athena","100","2020","Outdoor"
"JonesMitchell, Nirel","JR-3",12.97,"2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020",1.1,"Athena","100","2020","Outdoor"
"Gagnon, Angie","FR-1",13.02,"2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020",-0.3,"Athena","100","2020","Outdoor"
"Honan, Danielle","SO-2",13.17,"Rossi Relays","Feb 22, 2020",0.9,"Athena","100","2020","Outdoor"
"Honan, Danielle","SO-2",13.19,"2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020",0.1,"Athena","100","2020","Outdoor"
"Iyer, Drishya","FR-1",13.38,"Rossi Relays","Feb 22, 2020",0.5,"Athena","100","2020","Outdoor"
"Iyer, Drishya","FR-1",13.38,"SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020",0.6,"Athena","100","2020","Outdoor"
