"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Palunas, Vaiva","FR-1","38.82m","127' 4""","2014 SCIAC T&F Championships","May 3, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","38.36m","125' 10""","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","38.26m","125' 6""","2014 SCIAC T&F Championships","May 3, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","37.65m","123' 6""","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","37.17m","121' 11""","2014 SCIAC T&F Championships","May 3, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","36.95m","121' 3""","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","36.66m","120' 3""","2014 SCIAC T&F Championships","May 3, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","36.51m","119' 9""","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","","36.46m","119' 7""","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","36.18m","118' 8""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","35.87m","117' 8""","2014 SCIAC T&F Championships","May 3, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","35.84m","117' 7""","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","35.79m","117' 5""","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","DT","2014","Outdoor"
"Laliberte, Nicole","FR-1","35.72m","117' 2""","Rossi Relays","Feb 22, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","35.62m","116' 10""","Rossi Relays","Feb 22, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","35.13m","115' 3""","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","","35.12m","115' 3""","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014","Athena","DT","2014","Outdoor"
"Palunas, Vaiva","FR-1","34.67m","113' 9""","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","DT","2014","Outdoor"
