"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Sealand, Joshua","JR-3","3:47.34","Bryan Clay Invitational","Apr 14, 2016","Stag","1500","2016","Outdoor"
"Molineux, Evan","SR-4","3:47.88","Bryan Clay Invitational","Apr 14, 2016","Stag","1500","2016","Outdoor"
"Sealand, Joshua","JR-3","3:49.41","NCAA Division III Outdoor Track & Field Championships","May 26, 2016","Stag","1500","2016","Outdoor"
"Sealand, Joshua","JR-3","3:50.96","NCAA Division III Outdoor Track & Field Championships","May 26, 2016","Stag","1500","2016","Outdoor"
"Molineux, Evan","SR-4","3:51.20","Occidental Distance Carnival Spring Break Classic","Mar 11, 2016","Stag","1500","2016","Outdoor"
"Molineux, Evan","SR-4","3:51.37","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Stag","1500","2016","Outdoor"
"Sealand, Joshua","JR-3","3:51.50","2016 Oxy Invitational (College/University)","May 7, 2016","Stag","1500","2016","Outdoor"
"Molineux, Evan","SR-4","3:52.25","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Sealand, Joshua","JR-3","3:52.41","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Huang, Kevin","SO-2","3:52.87","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Sealand, Joshua","JR-3","3:54.92","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Stag","1500","2016","Outdoor"
"Huang, Kevin","SO-2","3:56.74","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Stag","1500","2016","Outdoor"
"Sealand, Joshua","JR-3","3:57.23","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Molineux, Evan","SR-4","3:57.26","NCAA Division III Outdoor Track & Field Championships","May 26, 2016","Stag","1500","2016","Outdoor"
"Lund, Kyle","JR-3","3:59.54","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Iten, Ben","FR-1","3:59.55","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Molineux, Evan","SR-4","4:00.04","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Sealand, Joshua","JR-3","4:00.09","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Iten, Ben","FR-1","4:00.37","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Stag","1500","2016","Outdoor"
"Molineux, Evan","SR-4","4:00.41","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Iten, Ben","FR-1","4:00.50","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Sealand, Joshua","JR-3","4:00.66","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Sealand, Joshua","JR-3","4:01.70","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","1500","2016","Outdoor"
"Lund, Kyle","JR-3","4:01.86","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Iten, Ben","FR-1","4:02.33","Occidental Distance Carnival Spring Break Classic","Mar 11, 2016","Stag","1500","2016","Outdoor"
"Huang, Kevin","SO-2","4:02.82","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Kiefer, J.P","SO-2","4:04.22","Occidental Distance Carnival Spring Break Classic","Mar 11, 2016","Stag","1500","2016","Outdoor"
"Iten, Ben","FR-1","4:04.46","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","1500","2016","Outdoor"
"Joseph, Jesse","JR-3","4:04.50","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Iten, Ben","FR-1","4:04.77","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Banks, Nico","JR-3","4:05.00","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Ryan, Garrett","JR-3","4:06.61","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","1500","2016","Outdoor"
"Banks, Nico","JR-3","4:07.36","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","1500","2016","Outdoor"
"Banks, Nico","JR-3","4:08.29","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Loustalet, Zorg","SR-4","4:08.46","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Loustalet, Zorg","SR-4","4:09.59","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Ryan, Garrett","JR-3","4:10.11","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Suver, Kyle","SO-2","4:10.44","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","1500","2016","Outdoor"
"Ryan, Garrett","JR-3","4:11.15","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Joseph, Jesse","JR-3","4:11.16","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","1500","2016","Outdoor"
"Barraugh, Collin","SO-2","4:11.84","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","1500","2016","Outdoor"
"Wilson, Jack","SR-4","4:12.28","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Robison, Arch","SO-2","4:13.07","Occidental Distance Carnival Spring Break Classic","Mar 11, 2016","Stag","1500","2016","Outdoor"
"Anderson, Danyon","SO-2","4:13.62","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","1500","2016","Outdoor"
"Anderson, Danyon","SO-2","4:13.65","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Schulze, Adam","FR-1","4:14.04","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Owlett, Bob","SR-4","4:14.19","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Cooper, Wyatt","JR-3","4:14.38","Occidental Distance Carnival Spring Break Classic","Mar 11, 2016","Stag","1500","2016","Outdoor"
"Suver, Kyle","SO-2","4:14.67","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Suver, Kyle","SO-2","4:15.31","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Cooper, Wyatt","JR-3","4:16.76","SCIAC Track & Field Championships","Apr 29, 2016","Stag","1500","2016","Outdoor"
"Anderson, Danyon","SO-2","4:16.81","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Kirk, Joel","SR-4","4:17.12","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","1500","2016","Outdoor"
"Robison, Jacob","FR-1","4:18.15","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
"Kirk, Joel","SR-4","4:18.35","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Stag","1500","2016","Outdoor"
"Robison, Arch","SO-2","4:18.73","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","1500","2016","Outdoor"
