"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Johnson, Abby","SO-2","5:06.85","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Gleason, Olivia","SO-2","5:16.15","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Marsh, Natalie","SR-4","5:16.78","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Harmon, Riley","FR-1","5:18.10","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Msall, Matilda","SR-4","5:20.45","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Blevins, Morgan","SO-2","5:26.57","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Palenscar, Olivia","JR-3","5:33.05","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Hartmann, Delaney","SO-2","5:35.35","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Gitlin, Sophie","FR-1","5:35.65","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Liles, Sophia","SO-2","5:38.29","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"McVay, Jackie","SO-2","5:39.70","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Bobrowsky, Meghan","SO-2","5:47.79","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Taylor, Chloe","FR-1","5:48.64","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Elliot, Anne","FR-1","5:49.39","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
"Crepeau, Natasha","SO-2","5:52.88","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","Mile","2019","Outdoor"
