"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Owlett, Bob","JR-3","9:31.26","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","3000S","2015","Outdoor"
"Loustalet, Zorg","JR-3","9:31.52","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Stag","3000S","2015","Outdoor"
"Loustalet, Zorg","JR-3","9:35.61","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","3000S","2015","Outdoor"
"Owlett, Bob","JR-3","9:41.64","SCIAC Multi Dual","Mar 7, 2015","Stag","3000S","2015","Outdoor"
"Molineux, Evan","JR-3","9:44.81","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","3000S","2015","Outdoor"
"Owlett, Bob","JR-3","9:47.89","Bryan Clay Invitational","Apr 17, 2015","Stag","3000S","2015","Outdoor"
"Cook, Matt","SR-4","9:48.74","SCIAC Multi Dual","Mar 7, 2015","Stag","3000S","2015","Outdoor"
"Kiefer, J.P","FR-1","9:51.11","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","3000S","2015","Outdoor"
"Kiefer, J.P","FR-1","9:54.10","SCIAC Multi Dual","Mar 7, 2015","Stag","3000S","2015","Outdoor"
"Kiefer, J.P","FR-1","10:01.75","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","3000S","2015","Outdoor"
"Owlett, Bob","JR-3","10:09.69","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","3000S","2015","Outdoor"
"Kiefer, J.P","FR-1","10:15.30","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","3000S","2015","Outdoor"
"Mitchell, Alex","FR-1","10:26.11","SCIAC Multi Dual","Mar 7, 2015","Stag","3000S","2015","Outdoor"
"Schein, Steve","JR-3","10:49.03","SCIAC Multi Dual","Mar 7, 2015","Stag","3000S","2015","Outdoor"
"Schein, Steve","JR-3","11:00.24","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","3000S","2015","Outdoor"
