"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"McKillop, Bryn","SR-4","4:49.97","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018","Athena","Mile","2018","Outdoor"
"Johnson, Abby","FR-1","5:15.92","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018","Athena","Mile","2018","Outdoor"
"Gleason, Olivia","FR-1","5:17.94","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018","Athena","Mile","2018","Outdoor"
"Mann, Kyleigh","SR-4","5:18.76","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018","Athena","Mile","2018","Outdoor"
"Kimmerly, Gabriella","SO-2","5:34.67","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018","Athena","Mile","2018","Outdoor"
"Scherer, Georgia","SO-2","5:40.38","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018","Athena","Mile","2018","Outdoor"
"Liles, Sophia","FR-1","5:45.20","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018","Athena","Mile","2018","Outdoor"
