"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Kakani, Vineeth","SO-2","33.31m","109' 3""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","33.29m","109' 3""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"O'Keefe, Logan","SO-2","33.26m","109' 1""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"O'Keefe, Logan","SO-2","33.22m","109' 0""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","32.94m","108' 1""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","32.86m","107' 10""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","32.64m","107' 1""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","32.61m","107' 0""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","32.59m","106' 11""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","31.90m","104' 8""","2023 Pomona-Pitzer T&F Invite","Apr 8, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","31.88m","104' 7""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","31.68m","103' 11""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","31.22m","102' 5""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","30.11m","98' 9""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"O'Keefe, Logan","SO-2","29.33m","96' 3""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","27.92m","91' 7""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
