"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Hollshwandner, Amy","SO-2","4.80m","15' 9""","Claremont Classic Multi","May 7, 2015",1.6,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.80m","15' 9""","Bryan Clay Invitational","Apr 17, 2015",0,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.79m","15' 8.75""","Westmont Collegiate Classic","Mar 21, 2015",0,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.79m","15' 8.75""","Bryan Clay Invitational","Apr 17, 2015",0,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.78m","15' 8.25""","2015 SCIAC Track & Field Championships","May 1, 2015",0.2,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","4.78m","15' 8.25""","SCIAC Multi Dual","Mar 7, 2015",-0.4,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","4.77m","15' 7.75""","Westmont Collegiate Classic","Mar 21, 2015",0,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.77m","15' 7.75""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",-0.8,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.74m","15' 6.75""","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015",-0.3,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.74m","15' 6.75""","2015 Triton Invitational","Apr 24, 2015",0.9,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.73m","15' 6.25""","Bryan Clay Invitational","Apr 17, 2015",0,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.71m","15' 5.5""","Westmont Collegiate Classic","Mar 21, 2015",0.9,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.67m","15' 4""","Bryan Clay Invitational","Apr 17, 2015",0,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.67m","15' 4""","Westmont Collegiate Classic","Mar 21, 2015",0,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.66m","15' 3.5""","SCIAC Multi Dual","Mar 7, 2015",0.8,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.66m","15' 3.5""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",-0.6,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.63m","15' 2.25""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",-1.7,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.63m","15' 2.25""","Westmont Collegiate Classic","Mar 21, 2015",0,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.62m","15' 2""","2015 SCIAC Track & Field Championships","May 1, 2015",1.6,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","4.62m","15' 2""","Claremont Classic Multi","May 7, 2015",0.8,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.60m","15' 1.25""","SCIAC Multi Dual","Mar 7, 2015",0.7,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.59m","15' 0.75""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",-0.2,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.58m","15' 0.5""","SCIAC Multi Dual","Mar 7, 2015",-0.9,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","4.58m","15' 0.5""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",-2,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.54m","14' 10.75""","SCIAC Multi Dual","Mar 7, 2015",1.5,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.46m","14' 7.75""","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015",-1.4,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","4.33m","14' 2.5""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",0.4,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","3.97m","13' 0.25""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",1,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","3.93m","12' 10.75""","Westmont Collegiate Classic","Mar 21, 2015",0,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","3.85m","12' 7.75""","Westmont Collegiate Classic","Mar 21, 2015",1,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","3.46m","11' 4.25""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015",1.7,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","3.30m","10' 10""","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015",0,"Athena","LJ","2015","Outdoor"
