"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Tarleton, Hanna","SO-2","1:01.27","NCAA Division III Outdoor Track & Field Championships","May 21, 2015","Athena","400H","2015","Outdoor"
"Tarleton, Hanna","SO-2","1:01.59","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400H","2015","Outdoor"
"Tarleton, Hanna","SO-2","1:01.95","NCAA Division III Outdoor Track & Field Championships","May 21, 2015","Athena","400H","2015","Outdoor"
"Tarleton, Hanna","SO-2","1:02.47","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Athena","400H","2015","Outdoor"
"Tarleton, Hanna","SO-2","1:02.83","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Athena","400H","2015","Outdoor"
"Tarleton, Hanna","SO-2","1:02.94","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","400H","2015","Outdoor"
"Tarleton, Hanna","SO-2","1:03.01","SCIAC Multi Dual","Mar 7, 2015","Athena","400H","2015","Outdoor"
"Tarleton, Hanna","SO-2","1:03.21","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400H","2015","Outdoor"
"Tarleton, Hanna","SO-2","1:03.94","Bryan Clay Invitational","Apr 17, 2015","Athena","400H","2015","Outdoor"
"Stewart, Rebecca","FR-1","1:04.36","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400H","2015","Outdoor"
"Stewart, Rebecca","FR-1","1:04.66","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Athena","400H","2015","Outdoor"
"Stewart, Rebecca","FR-1","1:04.89","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Athena","400H","2015","Outdoor"
"Miller, Cora","SR-4","1:04.91","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400H","2015","Outdoor"
"Tarleton, Hanna","SO-2","1:05.04","Rossi Relays","Feb 28, 2015","Athena","400H","2015","Outdoor"
"Stewart, Rebecca","FR-1","1:05.27","2015 Triton Invitational","Apr 24, 2015","Athena","400H","2015","Outdoor"
"Stewart, Rebecca","FR-1","1:05.66","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400H","2015","Outdoor"
"Miller, Cora","SR-4","1:05.70","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400H","2015","Outdoor"
"Miller, Cora","SR-4","1:06.71","Bryan Clay Invitational","Apr 17, 2015","Athena","400H","2015","Outdoor"
"Miller, Cora","SR-4","1:07.30","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","400H","2015","Outdoor"
"Stewart, Rebecca","FR-1","1:07.31","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Athena","400H","2015","Outdoor"
"Miller, Cora","SR-4","1:07.45","SCIAC Multi Dual","Mar 7, 2015","Athena","400H","2015","Outdoor"
"Stewart, Rebecca","FR-1","1:08.23","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","400H","2015","Outdoor"
"Stewart, Rebecca","FR-1","1:08.71","SCIAC Multi Dual","Mar 7, 2015","Athena","400H","2015","Outdoor"
"Miller, Cora","SR-4","1:09.20","Rossi Relays","Feb 28, 2015","Athena","400H","2015","Outdoor"
"Miller, Cora","SR-4","1:09.26","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Athena","400H","2015","Outdoor"
"Hollshwandner, Amy","SO-2","1:09.37","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","400H","2015","Outdoor"
"Stewart, Rebecca","FR-1","1:10.99","Rossi Relays","Feb 28, 2015","Athena","400H","2015","Outdoor"
