"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Barnwell, Allison","JR","11:20.62","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","3000S","2011","Outdoor"
"Barnwell, Allison","JR","11:32.73","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","3000S","2011","Outdoor"
"Barnwell, Allison","JR","11:49.44","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","3000S","2011","Outdoor"
"Barnwell, Allison","JR","11:57.75","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","3000S","2011","Outdoor"
"Barnwell, Allison","JR","12:02.04","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","3000S","2011","Outdoor"
"Zimmerling, Aubrey","SR","12:20.44","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","3000S","2011","Outdoor"
"Zimmerling, Aubrey","SR","12:30.00","Oxy Distance Carnival","Mar 11, 2011","Athena","3000S","2011","Outdoor"
"Zimmerling, Aubrey","SR","12:51.39","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","3000S","2011","Outdoor"
"Eslinger, Adele","FR-1","12:56.34","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","3000S","2011","Outdoor"
"Eslinger, Adele","FR-1","13:04.05","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","3000S","2011","Outdoor"
