"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Cunha, Caleb","JR-3",55.37,"SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","400H","2014","Outdoor"
"Espy, Matt","JR-3",55.49,"2014 SCIAC T&F Championships","May 3, 2014","Stag","400H","2014","Outdoor"
"Cunha, Caleb","JR-3",55.64,"2014 SCIAC T&F Championships","May 3, 2014","Stag","400H","2014","Outdoor"
"Kunst, Ben","FR-1",56.12,"Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","400H","2014","Outdoor"
"Cunha, Caleb","JR-3",56.21,"2014 SCIAC Quad Meet","Mar 29, 2014","Stag","400H","2014","Outdoor"
"Cunha, Caleb","JR-3",56.57,"2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","400H","2014","Outdoor"
"Kunst, Ben","FR-1",56.91,"2014 SCIAC T&F Championships","May 3, 2014","Stag","400H","2014","Outdoor"
"Cunha, Caleb","JR-3",57.11,"2014 SCIAC T&F Championships","May 3, 2014","Stag","400H","2014","Outdoor"
"Espy, Matt","JR-3",57.22,"SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","400H","2014","Outdoor"
"Kunst, Ben","FR-1",57.31,"2014 SCIAC Quad Meet","Mar 29, 2014","Stag","400H","2014","Outdoor"
"Cunha, Caleb","JR-3",57.37,"Rossi Relays","Feb 22, 2014","Stag","400H","2014","Outdoor"
"Cunha, Caleb","JR-3",57.38,"Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","400H","2014","Outdoor"
"Espy, Matt","JR-3",57.42,"2014 SCIAC T&F Championships","May 3, 2014","Stag","400H","2014","Outdoor"
"Kunst, Ben","FR-1",57.55,"2014 SCIAC T&F Championships","May 3, 2014","Stag","400H","2014","Outdoor"
"Kunst, Ben","FR-1",57.96,"SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","400H","2014","Outdoor"
"Espy, Matt","JR-3",58.05,"2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","400H","2014","Outdoor"
"Espy, Matt","JR-3",58.29,"Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","400H","2014","Outdoor"
"Cunha, Caleb","JR-3",58.36,"UNLV Randall Cunningham Initational","Mar 21, 2014","Stag","400H","2014","Outdoor"
"Kunst, Ben","FR-1",58.39,"Rossi Relays","Feb 22, 2014","Stag","400H","2014","Outdoor"
"Cunha, Caleb","JR-3",58.5,"2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","400H","2014","Outdoor"
"Espy, Matt","JR-3",58.7,"2014 SCIAC Quad Meet","Mar 29, 2014","Stag","400H","2014","Outdoor"
"Espy, Matt","JR-3",58.78,"2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","400H","2014","Outdoor"
"Kunst, Ben","FR-1",58.79,"2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","400H","2014","Outdoor"
"Kunst, Ben","FR-1",58.88,"UNLV Randall Cunningham Initational","Mar 21, 2014","Stag","400H","2014","Outdoor"
"Espy, Matt","JR-3",58.94,"Rossi Relays","Feb 22, 2014","Stag","400H","2014","Outdoor"
