"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Loustalet, Zorg","SO-2","14:41.13","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","5000","2014","Outdoor"
"Briskman, Jonathan","SR-4","14:44.02","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Briskman, Colin","SR","14:45.39","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014","Stag","5000","2014","Outdoor"
"Briskman, Jonathan","SR","14:46.29","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014","Stag","5000","2014","Outdoor"
"Loustalet, Zorg","SO-2","14:50.34","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Briskman, Jonathan","SR-4","14:52.08","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","5000","2014","Outdoor"
"Loustalet, Zorg","SO-2","14:52.43","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Briskman, Colin","SR-4","14:56.41","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Briskman, Colin","SR-4","14:57.22","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","5000","2014","Outdoor"
"Robinson, Tyler","SR","15:00.72","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014","Stag","5000","2014","Outdoor"
"Robinson, Tyler","SR-4","15:07.29","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Briskman, Jonathan","SR-4","15:12.66","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","5000","2014","Outdoor"
"Mauro, Alex","SR","15:14.19","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014","Stag","5000","2014","Outdoor"
"Robinson, Tyler","SR-4","15:14.20","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Mauro, Alex","JR-3","15:16.31","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Briskman, Colin","SR-4","15:17.67","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","5000","2014","Outdoor"
"Mauro, Alex","JR-3","15:17.87","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Wilson, Jack","SO-2","15:18.27","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Lund, Kyle","FR-1","15:19.32","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Mauro, Alex","JR-3","15:20.27","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","5000","2014","Outdoor"
"Loustalet, Zorg","SO-2","15:20.57","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","5000","2014","Outdoor"
"Briskman, Jonathan","SR-4","15:20.62","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","5000","2014","Outdoor"
"Wilson, Jack","SO-2","15:22.04","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Lund, Kyle","FR-1","15:23.23","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Van Houten, Lucas","SR-4","15:24.13","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Briskman, Colin","SR-4","15:24.25","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","5000","2014","Outdoor"
"Higle-Ralbovsky, Jacob","SO-2","15:26.63","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Mauro, Alex","JR-3","15:26.73","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","5000","2014","Outdoor"
"Ryan, Garrett","FR-1","15:27.78","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","5000","2014","Outdoor"
"Van Houten, Lucas","SR-4","15:31.71","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Robinson, Tyler","SR-4","15:32.00","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","5000","2014","Outdoor"
"Lund, Kyle","FR-1","15:32.91","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","5000","2014","Outdoor"
"Joseph, Jesse","FR-1","15:34.94","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Joseph, Jesse","FR-1","15:35.19","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","5000","2014","Outdoor"
"Joseph, Jesse","FR-1","15:37.81","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Owlett, Bob","SO-2","15:38.50","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Higle-Ralbovsky, Jacob","SO-2","15:39.45","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Banks, Nico","FR-1","15:39.76","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Higle-Ralbovsky, Jacob","SO-2","15:41.37","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","5000","2014","Outdoor"
"Briskman, Jonathan","SR-4","15:41.57","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","5000","2014","Outdoor"
"Higle-Ralbovsky, Jacob","SO-2","15:48.22","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","5000","2014","Outdoor"
"Mauro, Alex","JR-3","15:48.35","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","5000","2014","Outdoor"
"Cook, Matt","JR-3","15:48.99","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Robinson, Tyler","SR-4","15:49.09","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","5000","2014","Outdoor"
"Briskman, Colin","SR-4","15:49.29","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","5000","2014","Outdoor"
"Wilson, Jack","SO-2","15:53.18","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","5000","2014","Outdoor"
"Robinson, Tyler","SR-4","15:55.83","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","5000","2014","Outdoor"
"Mauro, Alex","JR-3","15:56.07","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","5000","2014","Outdoor"
"Wilson, Jack","SO-2","15:57.83","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","5000","2014","Outdoor"
"Banks, Nico","FR-1","15:57.97","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","5000","2014","Outdoor"
"Banks, Nico","FR-1","15:59.31","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","5000","2014","Outdoor"
"Cook, Matt","JR-3","15:59.58","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","5000","2014","Outdoor"
"Banks, Nico","FR-1","15:59.68","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","5000","2014","Outdoor"
"Sealand, Joshua","FR-1","16:01.51","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Sealand, Joshua","FR-1","16:04.29","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","5000","2014","Outdoor"
"Cook, Matt","JR-3","16:04.61","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Joseph, Jesse","FR-1","16:10.93","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","5000","2014","Outdoor"
"McCabe, Dan","FR-1","16:11.48","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Cooper, Wyatt","FR-1","16:17.14","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Cooper, Wyatt","FR-1","16:17.73","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"Van Houten, Lucas","SR-4","16:18.33","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","5000","2014","Outdoor"
"McCabe, Dan","FR-1","16:18.35","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Schein, Steve","SO-2","16:20.56","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Mulligan, Matt","FR-1","16:21.53","2014 SCIAC T&F Championships","May 3, 2014","Stag","5000","2014","Outdoor"
"Mulligan, Matt","FR-1","16:27.49","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","5000","2014","Outdoor"
"Mulligan, Matt","FR-1","16:28.69","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","5000","2014","Outdoor"
"Wilson, Jack","SO-2","16:29.78","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","5000","2014","Outdoor"
"Mulligan, Matt","FR-1","16:29.79","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","5000","2014","Outdoor"
"McCabe, Dan","FR-1","16:31.57","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","5000","2014","Outdoor"
