"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Briskman, Jonathan","SR-4","8:36.83","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Briskman, Jonathan","SR-4","8:42.35","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Briskman, Colin","SR-4","8:45.59","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Loustalet, Zorg","SO-2","8:50.12","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Mauro, Alex","JR-3","8:52.05","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Robinson, Tyler","SR-4","8:53.31","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Mauro, Alex","JR-3","8:57.22","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Robinson, Tyler","SR-4","8:59.09","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Briskman, Colin","SR-4","8:59.98","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Wilson, Jack","SO-2","9:01.72","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Sealand, Joshua","FR-1","9:02.26","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Van Houten, Lucas","SR-4","9:02.45","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Owlett, Bob","SO-2","9:06.03","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Higle-Ralbovsky, Jacob","SO-2","9:07.25","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Banks, Nico","FR-1","9:09.17","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Banks, Nico","FR-1","9:11.72","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Wilson, Jack","SO-2","9:15.98","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Higle-Ralbovsky, Jacob","SO-2","9:19.06","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Cook, Matt","JR-3","9:21.52","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Lund, Kyle","FR-1","9:25.61","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"McCabe, Dan","FR-1","9:27.20","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"McCabe, Dan","FR-1","9:40.71","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Schein, Steve","SO-2","9:46.57","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Cooper, Wyatt","FR-1","9:47.44","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Koh, Alec","SO-2","9:50.16","Rossi Relays","Feb 22, 2014","Stag","3000","2014","Outdoor"
"Cook, Matt","JR-3","9:52.43","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Mulligan, Matt","FR-1","9:55.86","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Schein, Steve","SO-2","10:03.11","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
"Koh, Alec","SO-2","10:17.58","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","3000","2014","Outdoor"
