"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Arnett, Alexandra","SO-2","2:19.50","2014 SCIAC T&F Championships","May 3, 2014","Athena","800","2014","Outdoor"
"Arnett, Alexandra","SO-2","2:21.61","2014 SCIAC T&F Championships","May 3, 2014","Athena","800","2014","Outdoor"
"Arnett, Alexandra","SO-2","2:24.20","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","800","2014","Outdoor"
"Arnett, Alexandra","SO-2","2:24.57","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Athena","800","2014","Outdoor"
"Arnett, Alexandra","SO-2","2:24.90","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","800","2014","Outdoor"
"Blum, Bridget","SO-2","2:25.62","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","800","2014","Outdoor"
"Maslan, Nicki","SO-2","2:26.94","2014 SCIAC T&F Championships","May 3, 2014","Athena","800","2014","Outdoor"
"Maslan, Nicki","SO-2","2:27.55","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Athena","800","2014","Outdoor"
"Barnwell, Allison","SR-4","2:28.34","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Athena","800","2014","Outdoor"
"Lehr, Jen","FR-1","2:28.58","Ross and Sharon Irwin Meet","Mar 22, 2014","Athena","800","2014","Outdoor"
"Arnett, Alexandra","SO-2","2:28.74","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Athena","800","2014","Outdoor"
"Hollshwandner, Amy","FR-1","2:28.89","Claremont Classic Multi","May 8, 2014","Athena","800","2014","Outdoor"
"Maslan, Nicki","SO-2","2:29.34","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","800","2014","Outdoor"
"Barnwell, Allison","SR-4","2:29.35","Ross and Sharon Irwin Meet","Mar 22, 2014","Athena","800","2014","Outdoor"
"Blum, Bridget","SO-2","2:30.19","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","800","2014","Outdoor"
"Maslan, Nicki","SO-2","2:31.90","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Athena","800","2014","Outdoor"
"Shepard, Anna","FR-1","2:35.66","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","800","2014","Outdoor"
