"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Selva, Kumaran","SO-2","1.70m","5' 7""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","HJ","2023","Outdoor"
"Selva, Kumaran","SO-2","1.65m","5' 5""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","HJ","2023","Outdoor"
"Selva, Kumaran","SO-2","1.62m","5' 3.75""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","HJ","2023","Outdoor"
"Selva, Kumaran","SO-2","1.60m","5' 3""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","HJ","2023","Outdoor"
"Selva, Kumaran","SO-2","1.55m","5' 1""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","HJ","2023","Outdoor"
"Selva, Kumaran","SO-2","1.55m","5' 1""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","HJ","2023","Outdoor"
"Selva, Kumaran","SO-2","1.50m","4' 11""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","HJ","2023","Outdoor"
"Selva, Kumaran","SO-2","1.50m","4' 11""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","HJ","2023","Outdoor"
"Selva, Kumaran","SO-2","1.45m","4' 9""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","HJ","2023","Outdoor"
