"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Stanislaw, Lauren","SR-4","36:58.36","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Athena","10000","2018","Outdoor"
"Stanislaw, Lauren","SR-4","37:14.84","Oxy Distance Carnival Spring Break Classic","Mar 10, 2018","Athena","10000","2018","Outdoor"
"Stanislaw, Lauren","SR-4","39:33.29","2018 Redlands Last Chance Qualifier","May 16, 2018","Athena","10000","2018","Outdoor"
"Lambros, Alexandra","SO-2","40:30.77","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Athena","10000","2018","Outdoor"
"Hartmann, Delaney","FR-1","41:06.55","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Athena","10000","2018","Outdoor"
