"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Knowles, Maxwell","SO-2","55.07m","180' 8""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","54.43m","178' 7""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","52.73m","173' 0""","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","52.68m","172' 10""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","52.31m","171' 7""","Titan Twilight","May 5, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","52.07m","170' 10""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","51.63m","169' 5""","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","51.58m","169' 3""","Oxy Distance Carnival Spring Break Classic","Mar 10, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","51.56m","169' 2""","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","51.51m","169' 0""","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","51.05m","167' 6""","Titan Twilight","May 5, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","51.01m","167' 4""","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","50.89m","166' 11""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","50.85m","166' 10""","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","50.64m","166' 2""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","50.60m","166' 0""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","50.39m","165' 4""","Oxy Distance Carnival Spring Break Classic","Mar 10, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","50.28m","164' 11""","Titan Twilight","May 5, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","50.22m","164' 9""","Oxy Distance Carnival Spring Break Classic","Mar 10, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","50.19m","164' 8""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","50.17m","164' 7""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","49.77m","163' 3""","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","49.76m","163' 3""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Ives, Wilson","SO-2","49.15m","161' 3""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","49.02m","160' 10""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","48.99m","160' 9""","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","48.93m","160' 6""","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","48.88m","160' 4""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","48.85m","160' 3""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","48.74m","159' 11""","Titan Twilight","May 5, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","48.56m","159' 4""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","48.47m","159' 0""","Titan Twilight","May 5, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","48.11m","157' 10""","2018 Oxy Invitational (College/University)","May 12, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","48.06m","157' 8""","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","47.96m","157' 4""","2018 Oxy Invitational (College/University)","May 12, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","47.82m","156' 11""","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","47.71m","156' 6""","SCIAC Multi-Dual #1","Mar 3, 2018","Stag","JT","2018","Outdoor"
"Schulz, Connor","FR-1","47.60m","156' 2""","Titan Twilight","May 5, 2018","Stag","JT","2018","Outdoor"
"Knowles, Maxwell","SO-2","47.50m","155' 10""","Titan Twilight","May 5, 2018","Stag","JT","2018","Outdoor"
