"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Colton, Reny","SR","5.59m","18' 4.25""","SCIAC Championships","Apr 30, 2010",1.3,"Athena","LJ","2010","Outdoor"
"Colton, Reny","SR","5.54m","18' 2.25""","SCIAC Championships","Apr 30, 2010",1.3,"Athena","LJ","2010","Outdoor"
"Colton, Reny","SR","5.33m","17' 6""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.4,"Athena","LJ","2010","Outdoor"
"Colton, Reny","SR","5.32m","17' 5.5""","SCIAC Quad Meet","Apr 17, 2010",0,"Athena","LJ","2010","Outdoor"
"Colton, Reny","SR","5.29m","17' 4.25""","CSUN Multi's","Mar 18, 2010",1.9,"Athena","LJ","2010","Outdoor"
"Colton, Reny","SR","5.22m","17' 1.5""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",0.6,"Athena","LJ","2010","Outdoor"
"Colton, Reny","SR","5.14m","16' 10.5""","Rossi Relays","Feb 27, 2010",0.5,"Athena","LJ","2010","Outdoor"
"Lundell, Carmen","FR-1","5.09m","16' 8.5""","SCIAC Quad Meet","Apr 17, 2010",1.5,"Athena","LJ","2010","Outdoor"
"Colton, Reny","SR","5.08m","16' 8""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010",-0.7,"Athena","LJ","2010","Outdoor"
"Lundell, Carmen","FR-1","5.00m","16' 5""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",0.3,"Athena","LJ","2010","Outdoor"
"Lundell, Carmen","FR-1","4.72m","15' 6""","Rossi Relays","Feb 27, 2010",0,"Athena","LJ","2010","Outdoor"
"Lundell, Carmen","FR-1","4.71m","15' 5.5""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",0.1,"Athena","LJ","2010","Outdoor"
"Zouai, Manon","","4.69m","15' 4.75""","SCIAC Quad Meet","Apr 17, 2010",0,"Athena","LJ","2010","Outdoor"
"Lundell, Carmen","FR-1","4.69m","15' 4.75""","SCIAC Championships","Apr 30, 2010",-1.1,"Athena","LJ","2010","Outdoor"
"Lundell, Carmen","FR-1","4.56m","14' 11.5""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.4,"Athena","LJ","2010","Outdoor"
"Lundell, Carmen","FR-1","4.55m","14' 11.25""","Spring Break Classic","Mar 20, 2010",-0.3,"Athena","LJ","2010","Outdoor"
"Zouai, Manon","","4.48m","14' 8.5""","Rossi Relays","Feb 27, 2010",0,"Athena","LJ","2010","Outdoor"
"Zouai, Manon","","4.48m","14' 8.5""","SCIAC Championships","Apr 30, 2010",0.3,"Athena","LJ","2010","Outdoor"
"Zouai, Manon","","4.31m","14' 1.75""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",0.9,"Athena","LJ","2010","Outdoor"
"Zouai, Manon","","4.27m","14' 0.25""","Spring Break Classic","Mar 20, 2010",-0.8,"Athena","LJ","2010","Outdoor"
