"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Harris, Charlie","SO-2","10:05.71","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","3000S","2017","Outdoor"
"Harris, Charlie","SO-2","10:22.43","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","3000S","2017","Outdoor"
"McCabe, Dan","SR-4","10:24.59","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","3000S","2017","Outdoor"
"Kiefer, J.P","JR-3","10:27.13","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Stag","3000S","2017","Outdoor"
"Harris, Charlie","SO-2","10:27.45","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","3000S","2017","Outdoor"
"Adams, Colin","SO-2","10:33.82","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","3000S","2017","Outdoor"
"McCabe, Dan","SR-4","10:34.08","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","3000S","2017","Outdoor"
"Adams, Colin","SO-2","10:35.57","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","3000S","2017","Outdoor"
"Harris, Charlie","SO-2","10:38.04","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Stag","3000S","2017","Outdoor"
"McCabe, Dan","SR-4","10:42.34","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","3000S","2017","Outdoor"
"Adams, Colin","SO-2","10:43.62","2017 Occidental Distance Carnival Spring Break Classic","Mar 10, 2017","Stag","3000S","2017","Outdoor"
"Kiefer, J.P","JR-3","10:48.49","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","3000S","2017","Outdoor"
