"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Griffith, Sabrine","FR-1",14.83,"2016 Oxy Invitational (College/University)","May 7, 2016",2,"Athena","100H","2016","Outdoor"
"Griffith, Sabrine","FR-1",14.86,"SCIAC Track & Field Championships","Apr 29, 2016",1.2,"Athena","100H","2016","Outdoor"
"Griffith, Sabrine","FR-1",15.11,"SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016",1.6,"Athena","100H","2016","Outdoor"
"Griffith, Sabrine","FR-1",15.15,"SCIAC Track & Field Championships","Apr 29, 2016",0.3,"Athena","100H","2016","Outdoor"
"Griffith, Sabrine","FR-1",15.16,"SCIAC Multi-Dual #3","Apr 16, 2016",0.2,"Athena","100H","2016","Outdoor"
"Griffith, Sabrine","FR-1",15.31,"2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016",0.8,"Athena","100H","2016","Outdoor"
"Griffith, Sabrine","FR-1",15.35,"2016 Ross and Sharon Irwin Collegiate Scoring Meet","Mar 19, 2016",0.6,"Athena","100H","2016","Outdoor"
"Griffith, Sabrine","FR-1",15.38,"SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016",0,"Athena","100H","2016","Outdoor"
"Burk, Ieva","FR-1",15.48,"SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016",0,"Athena","100H","2016","Outdoor"
"Griffith, Sabrine","FR-1",15.48,"2016 Pomona-Pitzer T&F Invite","Apr 9, 2016",0.5,"Athena","100H","2016","Outdoor"
"Burk, Ieva","FR-1",15.52,"SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016",1.6,"Athena","100H","2016","Outdoor"
"Burk, Ieva","FR-1",15.55,"Rossi Relays","Feb 27, 2016",1.8,"Athena","100H","2016","Outdoor"
"Burk, Ieva","FR-1",15.58,"2016 Ross and Sharon Irwin Collegiate Scoring Meet","Mar 19, 2016",0.6,"Athena","100H","2016","Outdoor"
"Griffith, Sabrine","FR-1",15.67,"Rossi Relays","Feb 27, 2016",1.8,"Athena","100H","2016","Outdoor"
"Ecola, Geneva","FR-1",16.9,"2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016",0.3,"Athena","100H","2016","Outdoor"
"Ecola, Geneva","FR-1",17.6,"SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016",0,"Athena","100H","2016","Outdoor"
