"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Mathkour, Ashraf","JR-3","1:53.20","2014 SCIAC T&F Championships","May 3, 2014","Stag","800","2014","Outdoor"
"Jones, Justin","JR-3","1:53.67","2014 SCIAC T&F Championships","May 3, 2014","Stag","800","2014","Outdoor"
"Hightower, Mac","SO-2","1:54.09","2014 SCIAC T&F Championships","May 3, 2014","Stag","800","2014","Outdoor"
"Jones, Justin","JR-3","1:54.23","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","800","2014","Outdoor"
"Mathkour, Ashraf","JR-3","1:55.41","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","800","2014","Outdoor"
"Mathkour, Ashraf","JR-3","1:55.67","2014 SCIAC T&F Championships","May 3, 2014","Stag","800","2014","Outdoor"
"Hightower, Mac","SO-2","1:55.76","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","800","2014","Outdoor"
"Lombardo, Alex","FR-1","1:56.11","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","800","2014","Outdoor"
"Mathkour, Ashraf","JR-3","1:56.14","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","800","2014","Outdoor"
"Hightower, Mac","SO-2","1:56.17","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","800","2014","Outdoor"
"Molineux, Evan","SO-2","1:56.38","Ross and Sharon Irwin Meet","Mar 22, 2014","Stag","800","2014","Outdoor"
"Jones, Justin","JR-3","1:56.49","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","800","2014","Outdoor"
"Hightower, Mac","SO-2","1:56.50","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","800","2014","Outdoor"
"Hightower, Mac","SO-2","1:56.64","2014 SCIAC T&F Championships","May 3, 2014","Stag","800","2014","Outdoor"
"Jones, Justin","JR-3","1:56.65","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","800","2014","Outdoor"
"Jones, Ryan","SO-2","1:57.02","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","800","2014","Outdoor"
"Jones, Justin","JR-3","1:57.10","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","800","2014","Outdoor"
"Hightower, Mac","SO-2","1:57.15","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","800","2014","Outdoor"
"Jones, Ryan","SO-2","1:57.17","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","800","2014","Outdoor"
"Jones, Justin","JR-3","1:57.38","2014 SCIAC T&F Championships","May 3, 2014","Stag","800","2014","Outdoor"
"Jones, Ryan","SO-2","1:57.59","2014 SCIAC T&F Championships","May 3, 2014","Stag","800","2014","Outdoor"
"Mathkour, Ashraf","JR-3","1:57.62","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","800","2014","Outdoor"
"Robinson, Tyler","SR-4","1:57.83","Ross and Sharon Irwin Meet","Mar 22, 2014","Stag","800","2014","Outdoor"
"Jones, Justin","JR-3","1:57.90","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","800","2014","Outdoor"
"Mathkour, Ashraf","JR-3","1:57.99","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","800","2014","Outdoor"
"Mathkour, Ashraf","JR-3","1:58.17","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","800","2014","Outdoor"
"Hightower, Mac","SO-2","1:58.66","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","800","2014","Outdoor"
"Clausen, Will","JR-3","1:58.72","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","800","2014","Outdoor"
"Jauregui, Phillip","FR-1","1:59.17","2014 SCIAC T&F Championships","May 3, 2014","Stag","800","2014","Outdoor"
"Jones, Justin","SR","1:59.19","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014","Stag","800","2014","Outdoor"
"Jones, Ryan","SO-2","1:59.37","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","800","2014","Outdoor"
"Jones, Ryan","SO-2","2:00.12","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","800","2014","Outdoor"
"Clausen, Will","JR-3","2:00.46","2014 SCIAC T&F Championships","May 3, 2014","Stag","800","2014","Outdoor"
"Clausen, Will","JR-3","2:00.66","Occidental Distance Carnival and Sprints Festival","Mar 14, 2014","Stag","800","2014","Outdoor"
"Jones, Ryan","SO-2","2:01.33","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","800","2014","Outdoor"
