"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Morelan, Marika","SO-2","16.59m","54' 5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Athena","JT","2018","Outdoor"
"Wilson, Alex","FR-1","16.25m","53' 4""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Athena","JT","2018","Outdoor"
"Morelan, Marika","SO-2","16.19m","53' 1""","SCIAC Multi-Dual #1","Mar 3, 2018","Athena","JT","2018","Outdoor"
"Morelan, Marika","SO-2","15.00m","49' 2""","Redlands Invitational","Mar 16, 2018","Athena","JT","2018","Outdoor"
"Morelan, Marika","SO-2","14.77m","48' 5""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Athena","JT","2018","Outdoor"
"Morelan, Marika","SO-2","14.21m","46' 7""","Redlands Invitational","Mar 16, 2018","Athena","JT","2018","Outdoor"
"Morelan, Marika","SO-2","13.69m","44' 11""","Redlands Invitational","Mar 16, 2018","Athena","JT","2018","Outdoor"
"Wilson, Alex","FR-1","13.62m","44' 8""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Athena","JT","2018","Outdoor"
"Mknelly, Bailey","FR-1","13.47m","44' 2""","Claremont Classic","May 3, 2018","Athena","JT","2018","Outdoor"
"Morelan, Marika","SO-2","13.36m","43' 10""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Athena","JT","2018","Outdoor"
"Morelan, Marika","SO-2","12.72m","41' 9""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Athena","JT","2018","Outdoor"
