"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Mknelly, Bailey","SO-2","1:06.54","SCIAC Track & Field Conference Championships","Apr 27, 2019","Athena","400H","2019","Outdoor"
"Mknelly, Bailey","SO-2","1:07.57","SCIAC Track & Field Conference Championships","Apr 27, 2019","Athena","400H","2019","Outdoor"
"Mknelly, Bailey","SO-2","1:08.24","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Athena","400H","2019","Outdoor"
"McCarthy, Bridget","JR-3","1:09.09","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","400H","2019","Outdoor"
"McCarthy, Bridget","JR-3","1:09.46","23rd Rossi Relays","Feb 23, 2019","Athena","400H","2019","Outdoor"
"Marsh, Deyana","SO-2","1:09.63","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Athena","400H","2019","Outdoor"
"McCarthy, Bridget","JR-3","1:09.73","SCIAC Track & Field Conference Championships","Apr 27, 2019","Athena","400H","2019","Outdoor"
"Mknelly, Bailey","SO-2","1:09.94","SCIAC Multi-Dual #2","Mar 30, 2019","Athena","400H","2019","Outdoor"
"McCarthy, Bridget","JR-3","1:10.74","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Athena","400H","2019","Outdoor"
"Marsh, Deyana","SO-2","1:10.99","SCIAC Dual Redlands","Mar 2, 2019","Athena","400H","2019","Outdoor"
"McCarthy, Bridget","JR-3","1:11.37","41st Annual Aztec Open","Mar 21, 2019","Athena","400H","2019","Outdoor"
"Marsh, Deyana","SO-2","1:11.61","SCIAC Multi-Dual #2","Mar 30, 2019","Athena","400H","2019","Outdoor"
