"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Steinberg, Stevie","FR-1","32:07.36","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","10000","2018","Outdoor"
"Harris, Charlie","JR-3","32:35.21","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","10000","2018","Outdoor"
"Macdonald, Brooks","SO-2","34:04.20","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","10000","2018","Outdoor"
"Macdonald, Brooks","SO-2","34:07.01","Oxy Distance Carnival Spring Break Classic","Mar 10, 2018","Stag","10000","2018","Outdoor"
"Schulze, Adam","SR-4","34:08.34","Oxy Distance Carnival Spring Break Classic","Mar 10, 2018","Stag","10000","2018","Outdoor"
"Suver, Kyle","SR-4","35:10.35","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","10000","2018","Outdoor"
