"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Kiefer, J.P","SO-2","9:40.01","SCIAC Track & Field Championships","Apr 29, 2016","Stag","3000S","2016","Outdoor"
"Owlett, Bob","SR-4","9:47.12","SCIAC Track & Field Championships","Apr 29, 2016","Stag","3000S","2016","Outdoor"
"Owlett, Bob","SR-4","9:49.24","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Stag","3000S","2016","Outdoor"
"Owlett, Bob","SR-4","9:52.99","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","3000S","2016","Outdoor"
"Kiefer, J.P","SO-2","9:58.35","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","3000S","2016","Outdoor"
"Kiefer, J.P","SO-2","9:59.44","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","3000S","2016","Outdoor"
"Kiefer, J.P","SO-2","10:00.46","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","3000S","2016","Outdoor"
"Owlett, Bob","SR-4","10:01.51","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","3000S","2016","Outdoor"
"Harris, Charlie","FR-1","10:05.55","SCIAC Track & Field Championships","Apr 29, 2016","Stag","3000S","2016","Outdoor"
"Barraugh, Collin","SO-2","10:05.84","SCIAC Track & Field Championships","Apr 29, 2016","Stag","3000S","2016","Outdoor"
"Barraugh, Collin","SO-2","10:12.07","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","3000S","2016","Outdoor"
"Barraugh, Collin","SO-2","10:15.30","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","3000S","2016","Outdoor"
"Harris, Charlie","FR-1","10:24.51","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","3000S","2016","Outdoor"
"Harris, Charlie","FR-1","10:38.72","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","3000S","2016","Outdoor"
"Harris, Charlie","FR-1","10:39.71","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","3000S","2016","Outdoor"
"Adams, Colin","FR-1","10:48.64","Occidental Distance Carnival Spring Break Classic","Mar 11, 2016","Stag","3000S","2016","Outdoor"
"Adams, Colin","FR-1","10:55.56","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","3000S","2016","Outdoor"
"Adams, Colin","FR-1","11:06.98","SCIAC Track & Field Championships","Apr 29, 2016","Stag","3000S","2016","Outdoor"
"Adams, Colin","FR-1","11:16.99","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","3000S","2016","Outdoor"
"Adams, Colin","FR-1","11:17.34","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","3000S","2016","Outdoor"
