"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Banks, Nico","SO-2","32:46.96","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","10000","2015","Outdoor"
"Olsen, Hunter","FR-1","33:03.31","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","10000","2015","Outdoor"
"Higle-Ralbovsky, Jacob","JR-3","33:10.80","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","10000","2015","Outdoor"
"Anderson, Danyon","FR-1","33:40.40","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","10000","2015","Outdoor"
"Mauro, Alex","SR-4","33:48.41","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","10000","2015","Outdoor"
"Cook, Matt","SR-4","34:02.79","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","10000","2015","Outdoor"
