"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Blum, Bridget","FR-1","10:26.34","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Barnwell, Allison","JR-3","10:28.53","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Zimmerling, Aubrey","SR-4","10:30.71","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Mostatabi, Sara","SO-2","10:40.15","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Wu, Taia","SO-2","10:48.48","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Fuelling, Meghan","FR-1","10:53.47","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Hogue, Marnie","SR-4","10:57.97","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Williams, Tess","FR-1","11:02.94","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Spees, Kaitlyn","SO-2","11:07.46","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Brookshire, Rae","FR-1","11:08.43","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Rigby, Allison","JR-3","11:09.50","Rossi Relays","Feb 23, 2013","Athena","3000","2013","Outdoor"
"Girvan, Katie","FR-1","11:24.32","Rossi Relays","Feb 23, 2013","Athena","3000","2013","Outdoor"
"Anderson, Kaylee","FR-1","11:26.94","Rossi Relays","Feb 23, 2013","Athena","3000","2013","Outdoor"
"Girvan, Katie","FR-1","11:29.49","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Maslan, Nicki","FR-1","11:30.36","Rossi Relays","Feb 23, 2013","Athena","3000","2013","Outdoor"
"Rigby, Allison","JR-3","11:40.90","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Snider, Leah","FR-1","11:45.04","UCSD Opening Triangular","Feb 16, 2013","Athena","3000","2013","Outdoor"
"Yao, Tracy","SO-2","12:58.86","Rossi Relays","Feb 23, 2013","Athena","3000","2013","Outdoor"
"Snider, Leah","FR-1","13:34.93","Rossi Relays","Feb 23, 2013","Athena","3000","2013","Outdoor"
