"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Lee, Liz","SR-4","5.57m","18' 3.25""","2017 SCIAC T&F Championships","Apr 28, 2017",1.4,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.47m","17' 11.5""","2017 SCIAC T&F Championships","Apr 28, 2017",1.9,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.45m","17' 10.75""","2017 SCIAC T&F Championships","Apr 28, 2017",2,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.27m","17' 3.5""","2017 SCIAC T&F Championships","Apr 28, 2017",1.3,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.16m","16' 11.25""","2017 Oxy Invitational","May 6, 2017",1.2,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.14m","16' 10.5""","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017",0,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","5.12m","16' 9.75""","Redlands Invite (Colleges)","Mar 17, 2017",1,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.09m","16' 8.5""","Redlands Final Qualifier","May 17, 2017",2,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.04m","16' 6.5""","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017",0,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.02m","16' 5.75""","SCIAC Multi-Dual No. 2","Apr 1, 2017",1,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.00m","16' 5""","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017",0.9,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","5.00m","16' 5""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.97m","16' 3.75""","SCIAC Multi-Dual No. 2","Apr 1, 2017",0.7,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.96m","16' 3.25""","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017",0.9,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.96m","16' 3.25""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.95m","16' 3""","SCIAC Multi-Dual No. 2","Apr 1, 2017",0.3,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.94m","16' 2.5""","SCIAC Multi-Dual No. 2","Apr 1, 2017",0.1,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.93m","16' 2.25""","2017 SCIAC T&F Championships","Apr 28, 2017",0.2,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.92m","16' 1.75""","SCIAC Multi-Dual No. 2","Apr 1, 2017",1.6,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.91m","16' 1.5""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.91m","16' 1.5""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",-0.1,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.90m","16' 1""","SCIAC Multi-Dual No. 2","Apr 1, 2017",0,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.89m","16' 0.5""","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017",0,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.87m","15' 11.75""","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017",0.7,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.87m","15' 11.75""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.86m","15' 11.5""","SCIAC Multi-Dual No. 2","Apr 1, 2017",1.3,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.86m","15' 11.5""","Redlands Invite (Colleges)","Mar 17, 2017",1.8,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.84m","15' 10.5""","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017",0,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.84m","15' 10.5""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.83m","15' 10.25""","Redlands Invite (Colleges)","Mar 17, 2017",1.9,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.82m","15' 9.75""","2017 Oxy Invitational","May 6, 2017",0,"Athena","LJ","2017","Outdoor"
"Lilly, Michelle","FR-1","4.77m","15' 7.75""","2017 SCIAC T&F Championships","Apr 28, 2017",1.3,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.77m","15' 7.75""","2017 SCIAC T&F Championships","Apr 28, 2017",1,"Athena","LJ","2017","Outdoor"
"Lilly, Michelle","FR-1","4.77m","15' 7.75""","Redlands Invite (Colleges)","Mar 17, 2017",0.7,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.77m","15' 7.75""","SCIAC Multi-Dual No. 2","Apr 1, 2017",1.3,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.75m","15' 7""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.75m","15' 7""","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017",-0.3,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.73m","15' 6.25""","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017",0,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.72m","15' 6""","Redlands Invite (Colleges)","Mar 17, 2017",1.6,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.72m","15' 6""","SCIAC Multi-Dual No. 2","Apr 1, 2017",1.4,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.72m","15' 6""","Redlands Invite (Colleges)","Mar 17, 2017",1.1,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.69m","15' 4.75""","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017",0.8,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.68m","15' 4.25""","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017",0,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.68m","15' 4.25""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.68m","15' 4.25""","Rossi Relays","Feb 25, 2017",0.4,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.67m","15' 4""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0,"Athena","LJ","2017","Outdoor"
"Lilly, Michelle","FR-1","4.65m","15' 3.25""","Redlands Invite (Colleges)","Mar 17, 2017",1.9,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.62m","15' 2""","2017 SCIAC T&F Championships","Apr 28, 2017",0.6,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.61m","15' 1.5""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0,"Athena","LJ","2017","Outdoor"
"Lee, Liz","SR-4","4.61m","15' 1.5""","Redlands Invite (Colleges)","Mar 17, 2017",1.3,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.61m","15' 1.5""","Rossi Relays","Feb 25, 2017",-0.3,"Athena","LJ","2017","Outdoor"
"Lilly, Michelle","FR-1","4.61m","15' 1.5""","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017",0.6,"Athena","LJ","2017","Outdoor"
"Watanabe, Kelly","FR-1","4.60m","15' 1.25""","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017",0,"Athena","LJ","2017","Outdoor"
"Lilly, Michelle","FR-1","4.60m","15' 1.25""","Rossi Relays","Feb 25, 2017",1.1,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.59m","15' 0.75""","Rossi Relays","Feb 25, 2017",0.7,"Athena","LJ","2017","Outdoor"
"Mell, Amanda","FR-1","4.57m","15' 0""","Rossi Relays","Feb 25, 2017",0.5,"Athena","LJ","2017","Outdoor"
"Lilly, Michelle","FR-1","4.56m","14' 11.5""","2017 SCIAC T&F Championships","Apr 28, 2017",1.7,"Athena","LJ","2017","Outdoor"
"Chami, Dani","SO-2","4.55m","14' 11.25""","Rossi Relays","Feb 25, 2017",-0.5,"Athena","LJ","2017","Outdoor"
"Watanabe, Kelly","FR-1","4.54m","14' 10.75""","Rossi Relays","Feb 25, 2017",1.1,"Athena","LJ","2017","Outdoor"
