"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Griffith, Sabrine","SO-2","5.46m","17' 11""","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018",0.8,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.45m","17' 10.75""","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018",0.3,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.39m","17' 8.25""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",-0.2,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.31m","17' 5.25""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",0,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.28m","17' 4""","Redlands Invitational","Mar 16, 2018",0.1,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.26m","17' 3.25""","SCIAC Multi-Dual #1","Mar 3, 2018",0,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.26m","17' 3.25""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-1.2,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.20m","17' 0.75""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-0.9,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.19m","17' 0.5""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-0.5,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.18m","17' 0""","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018",-0.2,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.18m","17' 0""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",-0.4,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.15m","16' 10.75""","Redlands Invitational","Mar 16, 2018",0.9,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.14m","16' 10.5""","SCIAC Multi-Dual #1","Mar 3, 2018",0.7,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.13m","16' 10""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",0.2,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.10m","16' 8.75""","Redlands Invitational","Mar 16, 2018",0.4,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.09m","16' 8.5""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",0,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.09m","16' 8.5""","Redlands Invitational","Mar 16, 2018",1,"Athena","LJ","2018","Outdoor"
"Egerter, Aubrey","FR-1","5.08m","16' 8""","2018 Redlands Last Chance Qualifier","May 16, 2018",0.4,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.07m","16' 7.75""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",-0.7,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.06m","16' 7.25""","Redlands Invitational","Mar 16, 2018",1,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.06m","16' 7.25""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-0.6,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.05m","16' 7""","Redlands Invitational","Mar 16, 2018",0,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","5.05m","16' 7""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",0,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.04m","16' 6.5""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-0.2,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.04m","16' 6.5""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018",1.2,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.04m","16' 6.5""","Redlands Invitational","Mar 16, 2018",1.7,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.03m","16' 6""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-1.1,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.03m","16' 6""","Redlands Invitational","Mar 16, 2018",0.8,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.03m","16' 6""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",0,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.00m","16' 5""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018",2,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","5.00m","16' 5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",0,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.99m","16' 4.5""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",0.8,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","4.98m","16' 4.25""","22nd Rossi Relays","Feb 24, 2018",1.3,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","SO-2","4.97m","16' 3.75""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",0.5,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","4.96m","16' 3.25""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",-0.9,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","4.95m","16' 3""","22nd Rossi Relays","Feb 24, 2018",1.3,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.95m","16' 3""","SCIAC Multi-Dual #1","Mar 3, 2018",-0.1,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.91m","16' 1.5""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018",0.3,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.91m","16' 1.5""","SCIAC Multi-Dual #1","Mar 3, 2018",0.8,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.90m","16' 1""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",-0.1,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","FR-1","4.89m","16' 0.5""","SCIAC Multi-Dual #1","Mar 3, 2018",0.6,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.89m","16' 0.5""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",-1.4,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","FR-1","4.88m","16' 0.25""","SCIAC Multi-Dual #1","Mar 3, 2018",0,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.88m","16' 0.25""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",0,"Athena","LJ","2018","Outdoor"
"Griffith, Sabrine","SO-2","4.88m","16' 0.25""","22nd Rossi Relays","Feb 24, 2018",0.6,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.88m","16' 0.25""","SCIAC Multi-Dual #1","Mar 3, 2018",1.5,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.84m","15' 10.5""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",0,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","SO-2","4.84m","15' 10.5""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-0.8,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.84m","15' 10.5""","SCIAC Multi-Dual #1","Mar 3, 2018",1.2,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.82m","15' 9.75""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",-0.6,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.80m","15' 9""","Redlands Invitational","Mar 16, 2018",1.8,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.76m","15' 7.5""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",0.1,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","FR-1","4.76m","15' 7.5""","22nd Rossi Relays","Feb 24, 2018",1.9,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.75m","15' 7""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",-1.1,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.75m","15' 7""","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018",1.1,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.75m","15' 7""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",-1.3,"Athena","LJ","2018","Outdoor"
"Watanabe, Kelly","SO-2","4.74m","15' 6.75""","SCIAC Multi-Dual #1","Mar 3, 2018",-0.9,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.74m","15' 6.75""","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018",0.7,"Athena","LJ","2018","Outdoor"
"Marsh, Deyana","FR-1","4.73m","15' 6.25""","2018 Redlands Last Chance Qualifier","May 16, 2018",0,"Athena","LJ","2018","Outdoor"
"Egerter, Aubrey","FR-1","4.72m","15' 6""","2018 Redlands Last Chance Qualifier","May 16, 2018",0.1,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.72m","15' 6""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",0,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","FR-1","4.71m","15' 5.5""","22nd Rossi Relays","Feb 24, 2018",1,"Athena","LJ","2018","Outdoor"
"Mell, Amanda","SO-2","4.71m","15' 5.5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",-0.7,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","FR-1","4.71m","15' 5.5""","Redlands Invitational","Mar 16, 2018",0.2,"Athena","LJ","2018","Outdoor"
"Watanabe, Kelly","SO-2","4.70m","15' 5""","Redlands Invitational","Mar 16, 2018",0,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.69m","15' 4.75""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",-0.9,"Athena","LJ","2018","Outdoor"
"Watanabe, Kelly","SO-2","4.69m","15' 4.75""","22nd Rossi Relays","Feb 24, 2018",0.2,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","FR-1","4.69m","15' 4.75""","22nd Rossi Relays","Feb 24, 2018",0.3,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","FR-1","4.66m","15' 3.5""","22nd Rossi Relays","Feb 24, 2018",1.3,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.66m","15' 3.5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",0.3,"Athena","LJ","2018","Outdoor"
"Watanabe, Kelly","SO-2","4.65m","15' 3.25""","SCIAC Multi-Dual #1","Mar 3, 2018",1,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.64m","15' 2.75""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-1.1,"Athena","LJ","2018","Outdoor"
"Catolico, Julia","SO-2","4.63m","15' 2.25""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-0.3,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.62m","15' 2""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",0.3,"Athena","LJ","2018","Outdoor"
"Watanabe, Kelly","SO-2","4.61m","15' 1.5""","Redlands Invitational","Mar 16, 2018",0,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.60m","15' 1.25""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",0.2,"Athena","LJ","2018","Outdoor"
"Marsh, Deyana","FR-1","4.59m","15' 0.75""","2018 Redlands Last Chance Qualifier","May 16, 2018",0.8,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.58m","15' 0.5""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018",0,"Athena","LJ","2018","Outdoor"
"Watanabe, Kelly","SO-2","4.58m","15' 0.5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",0,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.58m","15' 0.5""","Redlands Invitational","Mar 16, 2018",0,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.58m","15' 0.5""","22nd Rossi Relays","Feb 24, 2018",0,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.57m","15' 0""","SCIAC Multi-Dual #1","Mar 3, 2018",0,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.56m","14' 11.5""","SCIAC Multi-Dual #1","Mar 3, 2018",-0.9,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.56m","14' 11.5""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",0,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.55m","14' 11.25""","22nd Rossi Relays","Feb 24, 2018",1.6,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.54m","14' 10.75""","Redlands Invitational","Mar 16, 2018",0,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.54m","14' 10.75""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",0,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.54m","14' 10.75""","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018",-1.3,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","FR-1","4.54m","14' 10.75""","Redlands Invitational","Mar 16, 2018",0.6,"Athena","LJ","2018","Outdoor"
"Weisman , Carolyn","FR-1","4.54m","14' 10.75""","SCIAC Multi-Dual #1","Mar 3, 2018",1.9,"Athena","LJ","2018","Outdoor"
"Catolico, Julia","FR-1","4.53m","14' 10.5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",-0.6,"Athena","LJ","2018","Outdoor"
"Ecola, Geneva","JR-3","4.53m","14' 10.5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018",0,"Athena","LJ","2018","Outdoor"
"Chami, Dani","JR-3","4.53m","14' 10.5""","SCIAC Multi-Dual #1","Mar 3, 2018",1.2,"Athena","LJ","2018","Outdoor"
"Watanabe, Kelly","SO-2","4.53m","14' 10.5""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018",2,"Athena","LJ","2018","Outdoor"
