"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Peterson, Reese","JR-3","14.86m","48' 9""","SCIAC Track & Field Conference Championships","Apr 27, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","14.83m","48' 8""","SCIAC Track & Field Conference Championships","Apr 27, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","14.41m","47' 3.5""","SCIAC Track & Field Conference Championships","Apr 27, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","14.24m","46' 8.75""","SCIAC Track & Field Conference Championships","Apr 27, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","14.18m","46' 6.25""","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","14.16m","46' 5.5""","SCIAC Multi-Dual #2","Mar 30, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","14.11m","46' 3.5""","SCIAC Track & Field Conference Championships","Apr 27, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.99m","45' 10.75""","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.95m","45' 9.25""","SCIAC Multi-Dual #2","Mar 30, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.86m","45' 5.75""","Westmont Collegiate Classic with Jim Klein Combined Events","Mar 21, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.79m","45' 3""","SCIAC Track & Field Conference Championships","Apr 27, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.77m","45' 2.25""","Westmont Collegiate Classic with Jim Klein Combined Events","Mar 21, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.72m","45' 0.25""","SCIAC Multi-Dual #2","Mar 30, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.71m","44' 11.75""","2019 Oxy Invitational","May 11, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.69m","44' 11""","Westmont Collegiate Classic with Jim Klein Combined Events","Mar 21, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.68m","44' 10.75""","23rd Rossi Relays","Feb 23, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.67m","44' 10.25""","2019 Pomona-Pitzer Invitational (College/Univ)","Apr 6, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.66m","44' 9.75""","SCIAC Multi-Dual #2","Mar 30, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.66m","44' 9.75""","23rd Rossi Relays","Feb 23, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.61m","44' 8""","2019 Oxy Invitational","May 11, 2019","Stag","SP","2019","Outdoor"
"Peterson, Reese","JR-3","13.59m","44' 7""","Westmont Collegiate Classic with Jim Klein Combined Events","Mar 21, 2019","Stag","SP","2019","Outdoor"
