"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Sill, Michael","FR-1","10.50m","34' 5.5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","SP","2018","Outdoor"
"Maltz, Andrew","FR-1","10.49m","34' 5""","SCIAC Multi-Dual #1","Mar 3, 2018","Stag","SP","2018","Outdoor"
"Sill, Michael","FR-1","10.42m","34' 2.25""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","SP","2018","Outdoor"
"Sill, Michael","FR-1","10.23m","33' 6.75""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","SP","2018","Outdoor"
"Sill, Michael","FR-1","10.14m","33' 3.25""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","SP","2018","Outdoor"
"Sill, Michael","FR-1","10.03m","32' 11""","SCIAC Multi-Dual #1","Mar 3, 2018","Stag","SP","2018","Outdoor"
"Schulz, Connor","FR-1","10.00m","32' 9.75""","Claremont Classic","May 3, 2018","Stag","SP","2018","Outdoor"
"Maltz, Andrew","FR-1","9.36m","30' 8.5""","SCIAC Multi-Dual #1","Mar 3, 2018","Stag","SP","2018","Outdoor"
"Schulz, Connor","FR-1","8.70m","28' 6.5""","Claremont Classic","May 3, 2018","Stag","SP","2018","Outdoor"
"Schulz, Connor","FR-1","8.67m","28' 5.5""","Claremont Classic","May 3, 2018","Stag","SP","2018","Outdoor"
