"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Hollshwandner, Amy","SO-2",14.81,"Claremont Classic Multi","May 7, 2015",0.7,"Athena","100H","2015","Outdoor"
"Hollshwandner, Amy","SO-2",15.14,"Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015",1.6,"Athena","100H","2015","Outdoor"
"Hollshwandner, Amy","SO-2",15.21,"2015 SCIAC Track & Field Championships","May 1, 2015",0.4,"Athena","100H","2015","Outdoor"
"Hollshwandner, Amy","SO-2",15.23,"SCIAC Multi Dual","Mar 7, 2015",0.6,"Athena","100H","2015","Outdoor"
"Hollshwandner, Amy","SO-2",15.37,"Westmont Collegiate Classic","Mar 21, 2015",0,"Athena","100H","2015","Outdoor"
"Hollshwandner, Amy","SO-2",15.54,"2015 Triton Invitational","Apr 24, 2015",1.6,"Athena","100H","2015","Outdoor"
"Hollshwandner, Amy","SO-2",15.6,"Rossi Relays","Feb 28, 2015",1.9,"Athena","100H","2015","Outdoor"
"Hollshwandner, Amy","SO-2",15.64,"2015 Pomona-Pitzer All Comers","Feb 21, 2015",-0.9,"Athena","100H","2015","Outdoor"
"Hollshwandner, Amy","SO-2",15.65,"Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",-1,"Athena","100H","2015","Outdoor"
"Miller, Cora","SR-4",15.96,"2015 Triton Invitational","Apr 24, 2015",0.8,"Athena","100H","2015","Outdoor"
"Miller, Cora","SR-4",16.04,"2015 Pomona-Pitzer T&F Invite","Apr 4, 2015",0.2,"Athena","100H","2015","Outdoor"
"Miller, Cora","SR-4",16.08,"Westmont Collegiate Classic","Mar 21, 2015",0,"Athena","100H","2015","Outdoor"
"Miller, Cora","SR-4",16.16,"2015 SCIAC Track & Field Championships","May 1, 2015",0.4,"Athena","100H","2015","Outdoor"
"Miller, Cora","SR-4",16.3,"SCIAC Multi Dual","Mar 7, 2015",0.6,"Athena","100H","2015","Outdoor"
"Miller, Cora","SR-4",16.33,"Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",-1,"Athena","100H","2015","Outdoor"
"Miller, Cora","SR-4",16.38,"Rossi Relays","Feb 28, 2015",1.9,"Athena","100H","2015","Outdoor"
"Miller, Cora","SR-4",16.49,"2015 Pomona-Pitzer All Comers","Feb 21, 2015",-0.9,"Athena","100H","2015","Outdoor"
"Miller, Cora","SR-4",16.6,"Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015",1.6,"Athena","100H","2015","Outdoor"
"Stewart, Rebecca","FR-1",16.64,"Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015",1.6,"Athena","100H","2015","Outdoor"
"Stewart, Rebecca","FR-1",17.29,"SCIAC Multi Dual","Mar 7, 2015",0.6,"Athena","100H","2015","Outdoor"
"Stewart, Rebecca","FR-1",17.57,"Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",-1,"Athena","100H","2015","Outdoor"
