"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Mott, Lauren","JR-3","38.45m","126' 2""","Rossi Relays","Feb 27, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","36.80m","120' 9""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","36.15m","118' 7""","SCIAC Track & Field Championships","Apr 29, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","35.93m","117' 10""","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","35.92m","117' 10""","Rossi Relays","Feb 27, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","35.73m","117' 3""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","35.48m","116' 5""","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","35.04m","114' 11""","2016 Ross and Sharon Irwin Collegiate Scoring Meet","Mar 19, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","35.04m","114' 11""","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","34.79m","114' 2""","SCIAC Track & Field Championships","Apr 29, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","34.68m","113' 9""","SCIAC Track & Field Championships","Apr 29, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","34.54m","113' 4""","SCIAC Track & Field Championships","Apr 29, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","34.47m","113' 1""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","34.33m","112' 7""","SCIAC Track & Field Championships","Apr 29, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","33.64m","110' 4""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","32.93m","108' 0""","SCIAC Multi-Dual #3","Apr 16, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","32.88m","107' 10""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","32.36m","106' 2""","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","32.32m","106' 0""","Rossi Relays","Feb 27, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","31.91m","104' 8""","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","31.60m","103' 8""","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","31.58m","103' 7""","SCIAC Track & Field Championships","Apr 29, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","31.54m","103' 6""","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","31.00m","101' 8""","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","30.64m","100' 6""","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","30.25m","99' 3""","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","29.57m","97' 0""","SCIAC Multi-Dual #3","Apr 16, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","29.49m","96' 9""","SCIAC Track & Field Championships","Apr 29, 2016","Athena","JT","2016","Outdoor"
"Mott, Lauren","JR-3","29.04m","95' 3""","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","28.97m","95' 0""","SCIAC Track & Field Championships","Apr 29, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","28.32m","92' 11""","Rossi Relays","Feb 27, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","27.95m","91' 8""","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","27.38m","89' 10""","Rossi Relays","Feb 27, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","26.82m","88' 0""","Rossi Relays","Feb 27, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","26.78m","87' 10""","SCIAC Track & Field Championships","Apr 29, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","26.76m","87' 9""","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","26.75m","87' 9""","2016 Ross and Sharon Irwin Collegiate Scoring Meet","Mar 19, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","25.97m","85' 2""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","25.77m","84' 6""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","25.31m","83' 0""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","25.03m","82' 1""","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","24.75m","81' 2""","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","24.69m","81' 0""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","23.64m","77' 7""","Rossi Relays","Feb 27, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","23.48m","77' 0""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","23.27m","76' 4""","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","23.19m","76' 1""","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","22.74m","74' 7""","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","JT","2016","Outdoor"
"Gallardo, Mikaela","FR-1","22.71m","74' 6""","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","JT","2016","Outdoor"
