"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Wong, Matt","FR-1",11.12,"UNLV Randall Cunningham Initational","Mar 21, 2014",0,"Stag","100","2014","Outdoor"
"Wong, Matt","FR-1",11.12,"2014 SCIAC Quad Meet","Mar 29, 2014",1.1,"Stag","100","2014","Outdoor"
"Wong, Matt","FR-1",11.18,"2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014",0.8,"Stag","100","2014","Outdoor"
"Thaker, Avi","SO-2",11.96,"2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014",0.1,"Stag","100","2014","Outdoor"
"Berrueta, Tommy","FR-1",12.05,"2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014",0.1,"Stag","100","2014","Outdoor"
