"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Molineux, Evan","SR-4","4:11.28","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Iten, Ben","FR-1","4:24.43","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Banks, Nico","JR-3","4:28.82","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Barraugh, Collin","SO-2","4:32.35","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Suver, Kyle","SO-2","4:33.02","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Anderson, Danyon","SO-2","4:34.71","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Schulze, Adam","FR-1","4:37.84","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Cooper, Wyatt","JR-3","4:39.25","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Kiefer, J.P","SO-2","4:39.40","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Loustalet, Zorg","SR-4","4:40.50","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Harris, Charlie","FR-1","4:40.53","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Robison, Jacob","FR-1","4:42.43","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Higle-Ralbovsky, Jacob","SR-4","4:47.59","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Psaltakis, Matt","FR-1","4:51.81","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Adams, Colin","FR-1","5:01.28","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
"Huerta, Matt","FR-1","5:36.47","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","Mile","2016","Outdoor"
