"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Lewis, Rose",NA,15.1,"2012 Cal-Nevada Championships","Mar 31, 2012",1.4,"Athena","100H","2012","Outdoor"
"Lewis, Rose",NA,15.11,"2012 Pomona-Pitzer T&F Invite","Apr 14, 2012",0.7,"Athena","100H","2012","Outdoor"
"Lewis, Rose",NA,15.22,"SCIAC Quad Meet 3","Apr 7, 2012",-0.2,"Athena","100H","2012","Outdoor"
"Lewis, Rose",NA,15.32,"CSULA Last Chance Qualifier","May 12, 2012",0.3,"Athena","100H","2012","Outdoor"
"Lewis, Rose",NA,15.36,"Oxy Invitational Colleges","May 5, 2012",-1,"Athena","100H","2012","Outdoor"
"Nguyen, Monique",NA,15.56,"SCIAC Quad Meet 3","Apr 7, 2012",-0.2,"Athena","100H","2012","Outdoor"
"Lewis, Rose",NA,15.66,"Rossi Relays","Feb 25, 2012",0.4,"Athena","100H","2012","Outdoor"
"Nguyen, Monique",NA,16,"Rossi Relays","Feb 25, 2012",0.4,"Athena","100H","2012","Outdoor"
"Lewis, Rose",NA,16.01,"SDSU Aztec Track & Field Invitational","Mar 15, 2012",-0.4,"Athena","100H","2012","Outdoor"
"O'Keefe, Meg",NA,16.24,"2012 Pomona-Pitzer T&F Invite","Apr 14, 2012",1.2,"Athena","100H","2012","Outdoor"
"O'Keefe, Meg",NA,16.25,"SCIAC Quad Meet 3","Apr 7, 2012",-0.2,"Athena","100H","2012","Outdoor"
"Nguyen, Monique",NA,16.42,"SCIAC 5 Way Meet Calu","Mar 24, 2012",-2.6,"Athena","100H","2012","Outdoor"
"Miller, Cora",NA,17.12,"SCIAC 5 Way Meet Calu","Mar 24, 2012",-2.6,"Athena","100H","2012","Outdoor"
"O'Keefe, Meg",NA,17.15,"UCSD - CPP - CMS Triangular","Feb 18, 2012",-0.5,"Athena","100H","2012","Outdoor"
"Miller, Cora",NA,17.31,"Rossi Relays","Feb 25, 2012",0.4,"Athena","100H","2012","Outdoor"
"Lewis, Rose",NA,17.41,"SCIAC 5 Way Meet Calu","Mar 24, 2012",-2.6,"Athena","100H","2012","Outdoor"
"O'Keefe, Meg",NA,18.3,"SCIAC 5 Way Meet Calu","Mar 24, 2012",-2.6,"Athena","100H","2012","Outdoor"
"Lewis, Rose",NA,18.43,"UCSD - CPP - CMS Triangular","Feb 18, 2012",-0.5,"Athena","100H","2012","Outdoor"
