"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Macdonald, Jeff","",21.89,"CSULA Last Chance Qualifier","May 12, 2012",0.5,"Stag","200","2012","Outdoor"
"Macdonald, Jeff","",21.96,"2012 SCIAC Track & Field Championships","Apr 27, 2012",1.5,"Stag","200","2012","Outdoor"
"Macdonald, Jeff","",22.09,"2012 SCIAC Track & Field Championships","Apr 27, 2012",0.9,"Stag","200","2012","Outdoor"
"Macdonald, Jeff","",22.47,"SCIAC Quad Meet 3","Apr 7, 2012",-0.5,"Stag","200","2012","Outdoor"
"Macdonald, Jeff","",22.48,"Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012",1.1,"Stag","200","2012","Outdoor"
"Weyerhaeuser, Jake","",22.81,"Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012",1.6,"Stag","200","2012","Outdoor"
"Taylor, David","JR-3",22.96,"SDSU Aztec Track & Field Invitational","Mar 15, 2012",1.8,"Stag","200","2012","Outdoor"
"Taylor, David","JR-3",22.99,"SCIAC Quad Meet 3","Apr 7, 2012",0.9,"Stag","200","2012","Outdoor"
"Weyerhaeuser, Jake","",23,"2012 SCIAC Track & Field Championships","Apr 27, 2012",1,"Stag","200","2012","Outdoor"
"Warner, Kenneth","SO-2",23.02,"2012 SCIAC Track & Field Championships","Apr 27, 2012",0.9,"Stag","200","2012","Outdoor"
"Taylor, David","JR-3",23.09,"Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012",1.6,"Stag","200","2012","Outdoor"
"Warner, Kenneth","SO-2",23.1,"UCSD - CPP - CMS Triangular","Feb 18, 2012",-0.6,"Stag","200","2012","Outdoor"
"Macdonald, Jeff","",23.12,"UCSD - CPP - CMS Triangular","Feb 18, 2012",-1.9,"Stag","200","2012","Outdoor"
"Taylor, David","JR-3",23.12,"2012 SCIAC Track & Field Championships","Apr 27, 2012",1.5,"Stag","200","2012","Outdoor"
"Weyerhaeuser, Jake","",23.15,"SCIAC Quad Meet 3","Apr 7, 2012",0.9,"Stag","200","2012","Outdoor"
"Weyerhaeuser, Jake","",23.21,"SDSU Aztec Track & Field Invitational","Mar 15, 2012",1.9,"Stag","200","2012","Outdoor"
"Weyerhaeuser, Jake","",23.63,"UCSD - CPP - CMS Triangular","Feb 18, 2012",-1.9,"Stag","200","2012","Outdoor"
"Davis, Ari","",24.76,"UCSD - CPP - CMS Triangular","Feb 18, 2012",-0.6,"Stag","200","2012","Outdoor"
