"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Mostatabi, Sara","JR-3","10:19.05","Rossi Relays","Feb 22, 2014","Athena","3000","2014","Outdoor"
"Mostatabi, Sara","JR-3","10:29.84","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","3000","2014","Outdoor"
"Williams, Tess","SO-2","10:35.48","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","3000","2014","Outdoor"
"Blum, Bridget","SO-2","10:40.83","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","3000","2014","Outdoor"
"Barnwell, Allison","SR-4","10:48.01","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","3000","2014","Outdoor"
"Rigby, Allison","SR-4","10:51.88","Rossi Relays","Feb 22, 2014","Athena","3000","2014","Outdoor"
"Spees, Kaitlyn","JR-3","10:53.52","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","3000","2014","Outdoor"
"Fuelling, Meghan","SO-2","10:56.75","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","3000","2014","Outdoor"
"Brookshire, Rae","SO-2","11:00.98","Rossi Relays","Feb 22, 2014","Athena","3000","2014","Outdoor"
"Carmo, Olivia","FR-1","11:14.72","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","3000","2014","Outdoor"
"Rigby, Allison","SR-4","11:45.02","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","3000","2014","Outdoor"
"Klein, Emma","FR-1","12:37.59","Rossi Relays","Feb 22, 2014","Athena","3000","2014","Outdoor"
"Snider, Leah","SO-2","12:58.32","Rossi Relays","Feb 22, 2014","Athena","3000","2014","Outdoor"
"Snider, Leah","SO-2","13:17.48","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","3000","2014","Outdoor"
"Yao, Tracy","JR-3","13:31.05","Rossi Relays","Feb 22, 2014","Athena","3000","2014","Outdoor"
