"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Joseph, Senghor","FR-1",15.61,"UNLV Randall Cunningham Initational","Mar 21, 2014",0,"Stag","110H","2014","Outdoor"
"Espy, Matt","JR-3",15.74,"2014 SCIAC T&F Championships","May 3, 2014",0.7,"Stag","110H","2014","Outdoor"
"Espy, Matt","JR-3",16,"SCIAC Multi Duals Meet #3","Apr 19, 2014",1.3,"Stag","110H","2014","Outdoor"
"Espy, Matt","JR-3",16.19,"2014 SCIAC T&F Championships","May 3, 2014",-0.7,"Stag","110H","2014","Outdoor"
"Joseph, Senghor","FR-1",16.22,"2014 SCIAC T&F Championships","May 3, 2014",-0.1,"Stag","110H","2014","Outdoor"
"Espy, Matt","JR-3",16.24,"2014 SCIAC Quad Meet","Mar 29, 2014",-1.3,"Stag","110H","2014","Outdoor"
"Joseph, Senghor","FR-1",16.34,"2014 SCIAC Quad Meet","Mar 29, 2014",-1.3,"Stag","110H","2014","Outdoor"
"Joseph, Senghor","FR-1",16.48,"2014 SCIAC T&F Championships","May 3, 2014",0.7,"Stag","110H","2014","Outdoor"
"Joseph, Senghor","",16.49,"2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014",0.5,"Stag","110H","2014","Outdoor"
"Cunha, Caleb","JR-3",16.68,"2014 SCIAC T&F Championships","May 3, 2014",-0.7,"Stag","110H","2014","Outdoor"
"Joseph, Senghor","FR-1",16.83,"2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",1.9,"Stag","110H","2014","Outdoor"
"Joseph, Senghor","FR-1",16.95,"2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014",1.4,"Stag","110H","2014","Outdoor"
"Redman, Chad","JR-3",18.97,"SCIAC Multi Duals Meet #3","Apr 19, 2014",1.3,"Stag","110H","2014","Outdoor"
